K01D0007B_H0008:139a-0	@139a / / gya gar skad du /	gar_14 skad_18 du_23 
K01D0007B_H0008:139a-1	bi na ya autta ra grantha /	bi_0 na_3 ya_6 autta_9 ra_15 grantha_18 
K01D0007B_H0008:139a-2	bod skad du /	'bod_0 skad_4 du_9 
K01D0007B_H0008:139a-3	'dul ba gzhung dam pa /	'dul_0 ba_5 gzhung_8 dam_15 ba_19 
K01D0007B_H0008:139a-4	thams cad mkhyen pa la phyag 'tshal lo //	thams_0 cad_6 mkhyen_10 ba_17 la_20 phyag_23 'tshal_29 lo_36 
K01D0007B_H0008:139a-5	bam po dang po /	bam_0 po_4 dang_7 po_12 
K01D0007B_H0008:139a-6	mdor na /	mdor_0 na_5 
K01D0007B_H0008:139a-7	byol song gsum dang lam gsum dang //	'byol_0 'gro_5 gsum_10 dang_15 lam_20 gsum_24 dang_29 
K01D0007B_H0008:139a-8	gsheg dang bcad dang rnam pa gnyis //	gsheg_0 dang_6 gcod_11 dang_16 rnam_21 ba_26 gnyis_29 
K01D0007B_H0008:139a-9	'dzin pa dang yang bltab pa dang //	'dzin_0 ba_6 dang_9 yang_14 lteb_19 ba_25 dang_28 
K01D0007B_H0008:139a-10	so dang ma reg phag mo bzhin //	so_0 dang_3 ma_8 reg_11 phag_15 mo_20 bzhin_23 
K01D0007B_H0008:139b-0	de nas @139b sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa /	de_0 nas_3 sangs_13 rgya_19 'joms_25 ldan_30 'da'_35 la_40 tshe_43 dang_48 ldan_53 ba_58 au_61 ba_64 lis_67 zhus_71 ba_76 
K01D0007B_H0008:139b-1	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:139b-2	dge slong gis mi'i bud med sman nam /	dge_0 slong_4 gis_10 mi_14 'bud_19 med_23 sman_27 nam_32 
K01D0007B_H0008:139b-3	sngags kyis byol song gi skye gnas su skyes par bsgyur te mi tshangs par spyod par bgyid na /	sngags_0 kyis_7 'byol_12 'gro_17 gi_22 skye_25 gnas_30 su_35 skye_38 ba_44 sgyur_48 te_55 mi_58 tshangs_61 ba_69 spyod_73 ba_79 bgyid_83 na_89 
K01D0007B_H0008:139b-4	cir 'gyur /	cir_0 'gyur_4 
K01D0007B_H0008:139b-5	mthar 'gyur ro //	mthar_0 'gyur_6 ro_12 
K01D0007B_H0008:139b-6	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:139b-7	dge slong gis sngags sam /	dge_0 slong_4 gis_10 sngags_14 sam_21 
K01D0007B_H0008:139b-8	sman gyis bdag nyid byol song gi skye gnas su	sman_0 gyis_5 bdag_10 nyid_15 'byol_20 'gro_25 gi_30 skye_33 gnas_38 su_43 
K01D0007B_H0008:139b-9	skyes par bsgyur te mi'i bud med dang ldan cig	skye_0 ba_6 sgyur_10 te_17 mi_20 'bud_25 med_29 dang_33 ldan_38 cig_43 
K01D0007B_H0008:139b-10	tu mi tshangs par spyod pa bgyid na /	tu_0 mi_3 tshangs_6 ba_14 spyod_18 ba_24 bgyid_27 na_33 
K01D0007B_H0008:139b-11	cir 'gyur /	cir_0 'gyur_4 
K01D0007B_H0008:139b-12	de ste dge slong du 'du shes yod na /	de_0 ste_3 dge_7 slong_11 du_17 'du_20 shes_24 yod_29 na_33 
K01D0007B_H0008:139b-13	'khrig par sbyor ba bya ba yin pas mthar 'gyur ro //	'khrig_0 ba_7 sbyor_11 ba_17 byed_20 ba_24 yin_27 ba_31 mthar_35 'gyur_41 ro_47 
K01D0007B_H0008:139b-14	de ste dge slong du 'du shes med na /	de_0 ste_3 dge_7 slong_11 du_17 'du_20 shes_24 med_29 na_33 
K01D0007B_H0008:139b-15	nyes pa sbom por 'gyur ro //	nyes_0 ba_5 sbom_8 por_13 'gyur_17 ro_23 
K01D0007B_H0008:139b-16	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:139b-17	dge slong gis sngags sam /	dge_0 slong_4 gis_10 sngags_14 sam_21 
K01D0007B_H0008:139b-18	sman gyis bdag dang mi'i bud med gnyis byol song gi skye gnas su skyes par bsgyur te /	sman_0 gyis_5 bdag_10 dang_15 mi_20 'bud_25 med_29 gnyis_33 'byol_39 'gro_44 gi_49 skye_52 gnas_57 su_62 skye_65 ba_71 sgyur_75 te_82 
K01D0007B_H0008:139b-19	gcig la gcig mi tshangs par spyod pa bgyid na /	gcig_0 la_5 gcig_8 mi_13 tshangs_16 ba_24 spyod_28 ba_34 bgyid_37 na_43 
K01D0007B_H0008:139b-20	cir 'gyur /	cir_0 'gyur_4 
K01D0007B_H0008:139b-21	de ste dge slong du 'du shes yod na /	de_0 ste_3 dge_7 slong_11 du_17 'du_20 shes_24 yod_29 na_33 
K01D0007B_H0008:139b-22	'khrig par sbyor bar bya ba yin pas mthar 'gyur ro //	'khrig_0 ba_7 sbyor_11 ba_17 byed_21 ba_25 yin_28 ba_32 mthar_36 'gyur_42 ro_48 
K01D0007B_H0008:139b-23	dge slong du 'du shes med na /	dge_0 slong_4 du_10 'du_13 shes_17 med_22 na_26 
K01D0007B_H0008:139b-24	nyes pa sbom por 'gyur ro //	nyes_0 ba_5 sbom_8 por_13 'gyur_17 ro_23 
K01D0007B_H0008:139b-25	sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa /	sangs_0 rgya_6 'joms_12 ldan_17 'da'_22 la_27 tshe_30 dang_35 ldan_40 ba_45 au_48 ba_51 lis_54 zhus_58 ba_63 
K01D0007B_H0008:139b-26	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:139b-27	bcom ldan 'das kyis bcug ma thag tu mthar 'gyur ro //	'joms_0 ldan_5 'da'_10 kyis_15 'jug_20 ma_25 thag_28 tu_33 mthar_36 'gyur_42 ro_48 
K01D0007B_H0008:139b-28	zhes gsungs na /	zhes_0 gsungs_5 na_12 
K01D0007B_H0008:139b-29	ji tsam gyis na /	ji_0 tsam_3 gyis_8 na_13 
K01D0007B_H0008:139b-30	khar bcug pa zhes bgyi /	khar_0 'jug_5 ba_10 zhes_13 bgyid_18 
K01D0007B_H0008:139b-31	au pa li /	au_0 ba_3 li_6 
K01D0007B_H0008:139b-32	so las dkre 'das na'o //	so_0 las_3 dkre_7 'da'_12 na_17 
K01D0007B_H0008:139b-33	ji tsam gyis na /	ji_0 tsam_3 gyis_8 na_13 
K01D0007B_H0008:139b-34	bshang ba'i lam du bcug pa zhes bgyi /	bshang_0 ba_7 lam_12 du_16 'jug_19 ba_24 zhes_27 bgyid_32 
K01D0007B_H0008:139b-35	rkub khar dkre 'das na'o //	rkub_0 khar_5 dkre_10 'da'_15 na_20 
K01D0007B_H0008:139b-36	ji tsam gyis na /	ji_0 tsam_3 gyis_8 na_13 
K01D0007B_H0008:139b-37	gci ba'i lam du bcug pa zhes bgyi /	gci_0 ba_4 lam_9 du_13 'jug_16 ba_21 zhes_24 bgyid_29 
K01D0007B_H0008:140a-0	kha shun las dkre 'das @140a *//	kha_0 shun_4 las_9 dkre_13 'da'_18 
K01D0007B_H0008:140a-1	na'o //	na_0 
K01D0007B_H0008:140a-2	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:140a-3	bud med phyed du gsheg par gyur la /	'bud_0 med_4 phyed_8 du_14 gsheg_17 ba_23 gyur_27 la_32 
K01D0007B_H0008:140a-4	sgo gsum gyi bu gu yang nyams par gyur pa de /	sgo_0 gsum_4 gyi_9 bu_13 gu_16 yang_19 nyams_24 ba_30 gyur_34 ba_39 de_42 
K01D0007B_H0008:140a-5	dge slong gis phyed tshal gyis phyed tshal la sbyar te mi tshangs par spyod pa bgyid na /	dge_0 slong_4 gis_10 phyed_14 tshal_20 gyis_26 phyed_31 tshal_37 la_43 sbyor_46 te_52 mi_55 tshangs_58 ba_66 spyod_70 ba_76 bgyid_79 na_85 
K01D0007B_H0008:140a-6	cir 'gyur /	cir_0 'gyur_4 
K01D0007B_H0008:140a-7	nyes pa sbom por 'gyur ro //	nyes_0 ba_5 sbom_8 por_13 'gyur_17 ro_23 
K01D0007B_H0008:140a-8	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:140a-9	dge slong gis bud med rked du bcad par gyur pa zhig /	dge_0 slong_4 gis_10 'bud_14 med_18 rked_22 du_27 gcod_30 ba_35 gyur_39 ba_44 'jig_47 
K01D0007B_H0008:140a-10	sgo gsum gyi bu gu las /	sgo_0 gsum_4 gyi_9 bu_13 gu_16 las_19 
K01D0007B_H0008:140a-11	sgo'i bu gu gang yang rung ste ma nyams par	sgo_0 bu_6 gu_9 gang_12 yang_17 rung_22 ste_27 ma_31 nyams_34 ba_40 
K01D0007B_H0008:140a-12	gyur pa der mi tshangs par spyod pa bgyid na	gyur_0 ba_5 der_8 mi_12 tshangs_15 ba_23 spyod_27 ba_33 bgyid_36 na_42 
K01D0007B_H0008:140a-13	/ cir 'gyur /	cir_2 'gyur_6 
K01D0007B_H0008:140a-14	mthar 'gyur ro //	mthar_0 'gyur_6 ro_12 
K01D0007B_H0008:140a-15	btsun pa /	btsun_0 ba_6 
K01D0007B_H0008:140a-16	mgo bcad pa'i bud med la mi tshangs par spyod na /	mgo_0 gcod_4 ba_9 'bud_14 med_18 la_22 mi_25 tshangs_28 ba_36 spyod_40 na_46 
K01D0007B_H0008:140a-17	cir 'gyur /	cir_0 'gyur_4 
K01D0007B_H0008:140a-18	bshang ba'i lam mam /	bshang_0 ba_7 lam_12 mam_16 
K01D0007B_H0008:140a-19	gci ba'i lam du byed na /	gci_0 ba_4 lam_9 du_13 byed_16 na_21 
K01D0007B_H0008:140a-20	mthar 'gyur ro //	mthar_0 'gyur_6 ro_12 
K01D0007B_H0008:140a-21	'on te kha'i lam mam /	'on_0 te_4 kha_7 lam_13 mam_17 
K01D0007B_H0008:140a-22	sbu gu'am /	sbu_0 gu_4 
K01D0007B_H0008:140a-23	sgrog rus kyi bu gur byed na /	sgrog_0 rus_6 kyi_10 bu_14 gur_17 byed_21 na_26 
K01D0007B_H0008:140a-24	nyes pa sbom por 'gyur ro //	nyes_0 ba_5 sbom_8 por_13 'gyur_17 ro_23 
K01D0007B_H0008:140a-25	bcom ldan 'das kyis mi ma yin pa'i bud med	'joms_0 ldan_5 'da'_10 kyis_15 mi_20 ma_23 yin_26 ba_30 'bud_35 med_39 
K01D0007B_H0008:140a-26	dang lhan cig tu mi tshangs par spyod pa 'khrig	dang_0 lhan_5 cig_10 tu_14 mi_17 tshangs_20 ba_28 spyod_32 ba_38 'khrig_41 
K01D0007B_H0008:140a-27	pa'i chos byed na /	ba_0 chos_5 byed_10 na_15 
K01D0007B_H0008:140a-28	mthar 'gyur ro //	mthar_0 'gyur_6 ro_12 
K01D0007B_H0008:140a-29	zhes gsungs na /	zhes_0 gsungs_5 na_12 
K01D0007B_H0008:140a-30	mi ma lags par ji lta bu /	mi_0 ma_3 lags_6 ba_11 ji_15 lta_18 bu_22 
