K02D0008-4_H0009-4:1b-0	@1b #// shes rab kyi pha rol tu phyin pa stong phrag brgya pa //	shes_8 rab_13 kyi_17 pha_21 rol_25 tu_29 phyin_32 ba_38 stong_41 phrag_47 brgya_53 ba_59 
K02D0008-4_H0009-4:1b-1	bam po don dgu pa;/	bam_0 po_4 don_7 dgu_11 
K02D0008-4_H0009-4:1b-2	tshe dang ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 bu_34 
K02D0008-4_H0009-4:1b-3	gang yang 'di skad du /	gang_0 yang_5 'di_10 skad_14 du_19 
K02D0008-4_H0009-4:1b-4	ci'i phyir na /	ci_0 phyir_5 na_11 
K02D0008-4_H0009-4:1b-5	gzugs kun tu mtha' yas pa'i phyir byang chub sems	gzugs_0 kun_6 tu_10 mtha'_13 yas_19 ba_23 phyir_28 byang_34 chub_40 sems_45 
K02D0008-4_H0009-4:1b-6	dpa' kun tu mtha' yas par rig par bya zhes	dpa'_0 kun_5 tu_9 mtha'_12 yas_18 ba_22 rig_26 ba_30 byed_34 zhes_38 
K02D0008-4_H0009-4:1b-7	zer ba ni / tshe dang ldan pa sh'a radva ti'i bu /	zer_0 ba_4 ni_7 tshe_12 dang_17 ldan_22 ba_27 sh_30 radva_35 ti_41 bu_46 
K02D0008-4_H0009-4:2a-0	gzugs ni nam mkha' dang @2a #//	gzugs_0 ni_6 nam_9 mkha'_13 dang_19 
K02D0008-4_H0009-4:2a-1	mnyam pa ste /	mnyam_0 ba_6 ste_9 
K02D0008-4_H0009-4:2a-2	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K02D0008-4_H0009-4:2a-3	tshe dang ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 bu_34 
K02D0008-4_H0009-4:2a-4	'di ltar dper na nam mkha' la ni sngon gyi mtha' mi dmigs /	'di_0 ltar_4 dper_9 na_14 nam_17 mkha'_21 la_27 ni_30 sngon_33 gyi_39 mtha'_43 mi_49 dmigs_52 
K02D0008-4_H0009-4:2a-5	phyi ma'i mtha' mi dmigs /	phyi_0 ma_5 mtha'_10 mi_16 dmigs_19 
K02D0008-4_H0009-4:2a-6	dbus mi dmigs te /	dbus_0 mi_5 dmigs_8 te_14 
K02D0008-4_H0009-4:2a-7	mtha' yas kun tu mtha' yas pa'i phyir /	mtha'_0 yas_6 kun_10 tu_14 mtha'_17 yas_23 ba_27 phyir_32 
K02D0008-4_H0009-4:2a-8	nam mkha' zhes ming du brjod do //	nam_0 mkha'_4 zhes_10 ming_15 du_20 rjod_23 do_29 
K02D0008-4_H0009-4:2a-9	tshe dang ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_10 ba_15 sh_18 radva_23 ti_29 bu_34 
K02D0008-4_H0009-4:2a-10	de bzhin du gzugs stong pa nyid kyi phyir gzugs kyi sngon gyi mtha' mi dmigs /	de_0 bzhin_3 du_9 gzugs_12 stong_18 ba_24 nyid_27 kyi_32 phyir_36 gzugs_42 kyi_48 sngon_52 gyi_58 mtha'_62 mi_68 dmigs_71 
K02D0008-4_H0009-4:2a-11	phyi ma'i mtha' mi dmigs /	phyi_0 ma_5 mtha'_10 mi_16 dmigs_19 
K02D0008-4_H0009-4:2a-12	dbus mi dmigs te /	dbus_0 mi_5 dmigs_8 te_14 
K02D0008-4_H0009-4:2a-13	stong pa nyid la mtha'am /	stong_0 ba_6 nyid_9 la_14 mtha_17 
K02D0008-4_H0009-4:2a-14	dbus mi dmigs so //	dbus_0 mi_5 dmigs_8 so_14 
K02D0008-4_H0009-4:2b-0	tshe dang @2b ldan pa sh'a radva ti'i bu /	tshe_0 dang_5 ldan_14 ba_19 sh_22 radva_27 ti_33 bu_38 
K02D0008-4_H0009-4:2b-1	rnam grangs des na gzugs kun tu mtha' yas pa'i	rnam_0 grangs_5 des_12 na_16 gzugs_19 kun_25 tu_29 mtha'_32 yas_38 ba_42 
