K06D0025=D0553_H0020=H0511:246a-0	@246a / / gya gar skad du /	gar_14 skad_18 du_23 
K06D0025=D0553_H0020=H0511:246a-1	a'arya pradzny'a pa ra mi t'a n'a ma aashta sha ta kam/	a_0 pradzny_7 ba_17 ra_20 mi_23 t_26 n_30 ma_34 aashta_37 sha_44 ta_48 
K06D0025=D0553_H0020=H0511:246a-2	bod skad du /	'bod_0 skad_4 du_9 
K06D0025=D0553_H0020=H0511:246b-0	'phags pa shes rab kyi pha rol tu phyin pa'i @246b mtshan brgya rtsa brgyad pa /	'phag_0 ba_7 shes_10 rab_15 kyi_19 pha_23 rol_27 tu_31 phyin_34 ba_40 mtshan_51 brgya_58 rtsa_64 brgyad_69 ba_76 
K06D0025=D0553_H0020=H0511:246b-1	bcom ldan 'das ma shes rab kyi pha rol tu phyin pa la phyag 'tshal lo //	'joms_0 ldan_5 'da'_10 ma_15 shes_18 rab_23 kyi_27 pha_31 rol_35 tu_39 phyin_42 ba_48 la_51 phyag_54 'tshal_60 lo_67 
K06D0025=D0553_H0020=H0511:246b-2	'das dang ma byon da ltar gyi //	'da'_0 dang_5 ma_10 'byon_13 da_18 ltar_21 gyi_26 
K06D0025=D0553_H0020=H0511:246b-3	rgyal ba gang lags de kun gyi //	rgyal_0 ba_6 gang_9 lags_14 de_19 kun_22 gyi_26 
K06D0025=D0553_H0020=H0511:246b-4	yum ni dge ma khyod lags te //	yum_0 ni_4 dge_7 ma_11 khyod_14 lags_20 te_25 
K06D0025=D0553_H0020=H0511:246b-5	khyod ni lha mo rgyal ba'i sras //	khyod_0 ni_6 lha_9 mo_13 rgyal_16 ba_22 sras_27 
K06D0025=D0553_H0020=H0511:246b-6	rang bzhin med pa'i rang bzhin can //	rang_0 bzhin_5 med_11 ba_15 rang_20 bzhin_25 can_31 
K06D0025=D0553_H0020=H0511:246b-7	sangs rgyas yum gyur de yi mtshan //	sangs_0 rgya_6 yum_12 gyur_16 de_21 yi_24 mtshan_27 
K06D0025=D0553_H0020=H0511:246b-8	dge ba bdag gis brjod par bgyi //	dge_0 ba_4 bdag_7 gis_12 rjod_16 ba_22 bgyid_26 
K06D0025=D0553_H0020=H0511:246b-9	'byor par 'dod pas mnyan par gyis //	'byor_0 ba_6 'dod_10 ba_15 nyan_19 ba_25 gyis_29 
K06D0025=D0553_H0020=H0511:246b-10	shes rab kyi pha rol tu phyin pa dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 dang_33 
K06D0025=D0553_H0020=H0511:246b-11	thams cad mkhyen pa nyid dang /	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 dang_25 
K06D0025=D0553_H0020=H0511:246b-12	lam gyi rnam pa mkhyen pa nyid dang /	lam_0 gyi_4 rnam_8 ba_13 mkhyen_16 ba_23 nyid_26 dang_31 
K06D0025=D0553_H0020=H0511:246b-13	rnam pa thams cad mkhyen pa nyid dang /	rnam_0 ba_5 thams_8 cad_14 mkhyen_18 ba_25 nyid_28 dang_33 
K06D0025=D0553_H0020=H0511:246b-14	yang dag pa'i mtha' dang /	yang_0 'dag_5 ba_9 mtha'_14 dang_20 
K06D0025=D0553_H0020=H0511:246b-15	de bzhin nyid dang /	de_0 bzhin_3 nyid_9 dang_14 
K06D0025=D0553_H0020=H0511:246b-16	ma nor ba de bzhin nyid dang /	ma_0 nor_3 ba_7 de_10 bzhin_13 nyid_19 dang_24 
K06D0025=D0553_H0020=H0511:246b-17	gzhan ma yin pa de bzhin nyid dang /	gzhan_0 ma_6 yin_9 ba_13 de_16 bzhin_19 nyid_25 dang_30 
K06D0025=D0553_H0020=H0511:246b-18	bden pa dang /	bden_0 ba_5 dang_8 
K06D0025=D0553_H0020=H0511:246b-19	de kho na dang /	de_0 kho_3 na_7 dang_10 
K06D0025=D0553_H0020=H0511:246b-20	yang dag pa dang /	yang_0 'dag_5 ba_9 dang_12 
K06D0025=D0553_H0020=H0511:246b-21	phyin ci ma log pa nyid dang /	phyin_0 ci_6 ma_9 log_12 ba_16 nyid_19 dang_24 
K06D0025=D0553_H0020=H0511:246b-22	stong pa nyid dang /	stong_0 ba_6 nyid_9 dang_14 
K06D0025=D0553_H0020=H0511:246b-23	mtshan ma med pa dang /	mtshan_0 ma_7 med_10 ba_14 dang_17 
K06D0025=D0553_H0020=H0511:246b-24	smon pa med pa dang /	smon_0 ba_5 med_8 ba_12 dang_15 
K06D0025=D0553_H0020=H0511:246b-25	dngos po med pa nyid dang /	dngos_0 po_6 med_9 ba_13 nyid_16 dang_21 
K06D0025=D0553_H0020=H0511:246b-26	ngo bo nyid dang /	ngo_0 'bo_4 nyid_7 dang_12 
K06D0025=D0553_H0020=H0511:246b-27	dngos po med pa'i ngo bo nyid dang /	dngos_0 po_6 med_9 ba_13 ngo_18 'bo_22 nyid_25 dang_30 
K06D0025=D0553_H0020=H0511:246b-28	chos nyid dang /	chos_0 nyid_5 dang_10 
K06D0025=D0553_H0020=H0511:246b-29	chos kyi dbyings dang /	chos_0 kyi_5 dbyings_9 dang_17 
K06D0025=D0553_H0020=H0511:246b-30	chos gnas pa nyid dang /	chos_0 gnas_5 ba_10 nyid_13 dang_18 
K06D0025=D0553_H0020=H0511:246b-31	chos mi 'gyur ba nyid dang /	chos_0 mi_5 'gyur_8 ba_14 nyid_17 dang_22 
K06D0025=D0553_H0020=H0511:246b-32	chos skyon med pa nyid dang /	chos_0 skyon_5 med_11 ba_15 nyid_18 dang_23 
K06D0025=D0553_H0020=H0511:246b-33	chos kyi mtshan nyid dang /	chos_0 kyi_5 mtshan_9 nyid_16 dang_21 
K06D0025=D0553_H0020=H0511:246b-34	chos bdag med pa nyid dang /	chos_0 bdag_5 med_10 ba_14 nyid_17 dang_22 
K06D0025=D0553_H0020=H0511:246b-35	ngo bo nyid med pa nyid dang /	ngo_0 'bo_4 nyid_7 med_12 ba_16 nyid_19 dang_24 
K06D0025=D0553_H0020=H0511:246b-36	sems can med pa nyid dang /	sems_0 can_5 med_9 ba_13 nyid_16 dang_21 
K06D0025=D0553_H0020=H0511:246b-37	srog med pa nyid dang /	srog_0 med_5 ba_9 nyid_12 dang_17 
K06D0025=D0553_H0020=H0511:246b-38	gso ba med pa nyid dang /	gso_0 ba_4 med_7 ba_11 nyid_14 dang_19 
K06D0025=D0553_H0020=H0511:246b-39	skyes bu med pa nyid dang /	skye_0 bu_6 med_9 ba_13 nyid_16 dang_21 
K06D0025=D0553_H0020=H0511:246b-40	gang zag med pa nyid dang /	gang_0 zag_5 med_9 ba_13 nyid_16 dang_21 
K06D0025=D0553_H0020=H0511:246b-41	brjod par bya ba dang /	rjod_0 ba_6 byed_10 ba_14 dang_17 
K06D0025=D0553_H0020=H0511:246b-42	brjod par bya ba ma yin pa dang /	rjod_0 ba_6 byed_10 ba_14 ma_17 yin_20 ba_24 dang_27 
K06D0025=D0553_H0020=H0511:246b-43	sems dang /	sems_0 dang_5 
K06D0025=D0553_H0020=H0511:246b-44	yid dang /	yid_0 dang_4 
K06D0025=D0553_H0020=H0511:247a-0	rnam par shes @247a *//	rnam_0 ba_5 shes_9 
K06D0025=D0553_H0020=H0511:247a-1	pa dang bral ba dang /	ba_0 dang_3 'bral_8 ba_13 dang_16 
K06D0025=D0553_H0020=H0511:247a-2	mnyam pa med pa dang /	mnyam_0 ba_6 med_9 ba_13 dang_16 
K06D0025=D0553_H0020=H0511:247a-3	mi mnyam pa dang mnyam pa dang /	mi_0 mnyam_3 ba_9 dang_12 mnyam_17 ba_23 dang_26 
K06D0025=D0553_H0020=H0511:247a-4	bdag gi ba med pa dang /	bdag_0 gi_5 ba_8 med_11 ba_15 dang_18 
K06D0025=D0553_H0020=H0511:247a-5	rgyags pa med pa dang /	rgyags_0 ba_7 med_10 ba_14 dang_17 
K06D0025=D0553_H0020=H0511:247a-6	spros pa med pa dang /	spros_0 ba_6 med_9 ba_13 dang_16 
K06D0025=D0553_H0020=H0511:247a-7	spros pa dang bral ba dang /	spros_0 ba_6 dang_9 'bral_14 ba_19 dang_22 
K06D0025=D0553_H0020=H0511:247a-8	spros pa thams cad dang bral ba dang /	spros_0 ba_6 thams_9 cad_15 dang_19 'bral_24 ba_29 dang_32 
K06D0025=D0553_H0020=H0511:247a-9	spros pa thams cad las shin tu 'das pa dang /	spros_0 ba_6 thams_9 cad_15 las_19 shin_23 tu_28 'da'_31 ba_36 dang_39 
K06D0025=D0553_H0020=H0511:247a-10	sangs rgyas thams cad kyi yum dang /	sangs_0 rgya_6 thams_12 cad_18 kyi_22 yum_26 dang_30 
K06D0025=D0553_H0020=H0511:247a-11	byang chub sems dpa' thams cad bskyed pa dang /	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 skyed_31 ba_38 dang_41 
K06D0025=D0553_H0020=H0511:247a-12	nyan thos thams cad 'dzin pa dang /	nyan_0 thos_5 thams_10 cad_16 'dzin_20 ba_26 dang_29 
K06D0025=D0553_H0020=H0511:247a-13	rang sangs rgyas thams cad bskrun pa dang /	rang_0 sangs_5 rgya_11 thams_17 cad_23 skrun_27 ba_34 dang_37 
K06D0025=D0553_H0020=H0511:247a-14	'jig rten thams cad 'dzin pa dang /	'jig_0 rten_5 thams_10 cad_16 'dzin_20 ba_26 dang_29 
K06D0025=D0553_H0020=H0511:247a-15	bsod nams kyi tshogs zad mi shes pa bsags pa dang /	bsod_0 nams_5 kyi_10 tshogs_14 zad_21 mi_25 shes_28 ba_33 bsags_36 ba_42 dang_45 
K06D0025=D0553_H0020=H0511:247a-16	ye shes 'bab pa dang /	ye_0 shes_3 'bab_8 ba_13 dang_16 
K06D0025=D0553_H0020=H0511:247a-17	rdzu 'phrul mdzad pa dang /	rdzu_0 'phrul_5 mdzad_12 ba_18 dang_21 
K06D0025=D0553_H0020=H0511:247a-18	lha'i mig rnam par sbyong bar mdzad pa dang /	lha_0 mig_6 rnam_10 ba_15 sbyong_19 ba_26 mdzad_30 ba_36 dang_39 
K06D0025=D0553_H0020=H0511:247a-19	lha'i rna ba rab tu dang bar mdzad pa dang /	lha_0 rna_6 ba_10 rab_13 tu_17 dang_20 ba_25 mdzad_29 ba_35 dang_38 
K06D0025=D0553_H0020=H0511:247a-20	pha rol gyi sems shes par mdzad pa dang /	pha_0 rol_4 gyi_8 sems_12 shes_17 ba_22 mdzad_26 ba_32 dang_35 
K06D0025=D0553_H0020=H0511:247a-21	sngon gyi gnas rjes su dran par mdzad pa dang /	sngon_0 gyi_6 gnas_10 rjes_15 su_20 dran_23 ba_28 mdzad_32 ba_38 dang_41 
K06D0025=D0553_H0020=H0511:247a-22	'chi 'pho dang skye ba shes par mdzad pa dang /	'chi_0 'pho_5 dang_10 skye_15 ba_20 shes_23 ba_28 mdzad_32 ba_38 dang_41 
K06D0025=D0553_H0020=H0511:247a-23	nyon mongs pa thams cad zad par mdzad pa dang /	nyon_0 mongs_5 ba_11 thams_14 cad_20 zad_24 ba_28 mdzad_32 ba_38 dang_41 
K06D0025=D0553_H0020=H0511:247a-24	'phags pa dang /	'phag_0 ba_7 dang_10 
K06D0025=D0553_H0020=H0511:247a-25	gtsang ba dang /	gtsang_0 ba_7 dang_10 
K06D0025=D0553_H0020=H0511:247a-26	bsangs pa dang /	bsangs_0 ba_7 dang_10 
K06D0025=D0553_H0020=H0511:247a-27	dran pa nye bar gzhag pa la gnas pa dang /	dran_0 ba_5 nye_8 ba_12 'jog_16 ba_22 la_25 gnas_28 ba_33 dang_36 
K06D0025=D0553_H0020=H0511:247a-28	yang dag par spong ba'i shugs dang ldan pa dang /	yang_0 'dag_5 ba_9 spong_13 ba_19 shugs_24 dang_30 ldan_35 ba_40 dang_43 
