K10D0177_H0178:376b-0	@376b / / gya gar skad du /	gar_14 skad_18 du_23 
K10D0177_H0178:376b-1	a'arya manydzu shr'i nir de sha n'a ma mah'a ya na s'u tra /	a_0 manydzu_7 shr_15 nir_21 de_25 sha_28 n_32 ma_36 mah_39 ya_45 na_48 s_51 tra_55 
K10D0177_H0178:376b-2	bod skad du /	'bod_0 skad_4 du_9 
K10D0177_H0178:376b-3	'phags pa 'jam dpal gyis bstan pa zhes bya ba theg pa chen po'i mdo /	'phag_0 ba_7 'jam_10 dpal_15 gyis_20 ston_25 ba_31 zhes_34 byed_39 ba_43 theg_46 ba_51 chen_54 po_59 mdo_64 
K10D0177_H0178:376b-4	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K10D0177_H0178:376b-5	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K10D0177_H0178:376b-6	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K10D0177_H0178:376b-7	bcom ldan 'das mnyan yod na rgyal bu rgyal byed	'joms_0 ldan_5 'da'_10 nyan_15 yod_21 na_25 rgyal_28 bu_34 rgyal_37 byed_43 
K10D0177_H0178:376b-8	kyi tshal mgon med zas sbyin gyi kun dga' ra	kyi_0 tshal_4 mgon_10 med_15 zas_19 sbyin_23 gyi_29 kun_33 dga'_37 ra_42 
K10D0177_H0178:376b-9	ba na / dge slong stong nyis brgya lnga bcu'i dge slong gi dge 'dun chen po dang /	ba_0 na_3 dge_8 slong_12 stong_18 nyis_24 brgya_29 lnga_35 'chu_40 dge_46 slong_50 gi_56 dge_59 'dun_63 chen_68 po_73 dang_76 
K10D0177_H0178:376b-10	byang chub sems dpa' lnga stong tham pa dang thabs gcig tu bzhugs te /	byang_0 chub_6 sems_11 dpa'_16 lnga_21 stong_26 tham_32 ba_37 dang_40 thabs_45 gcig_51 tu_56 bzhugs_59 te_66 
K10D0177_H0178:376b-11	de'i tshe bcom ldan 'das 'khor 'bum phrag du mas yongs su bskor cing /	de_0 tshe_5 'joms_10 ldan_15 'da'_20 'khor_25 'bum_31 phrag_36 du_42 mas_45 yongs_49 su_55 skor_58 cing_64 
K10D0177_H0178:376b-12	mdun gyis bltas nas chos ston to //	mdun_0 gyis_5 lta_10 nas_16 chos_20 ston_25 to_30 
K10D0177_H0178:376b-13	de nas 'jam dpal gzhon nur gyur pa rin po	de_0 nas_3 'jam_7 dpal_12 gzhon_17 nur_23 gyur_27 ba_32 rin_35 po_39 
K10D0177_H0178:376b-14	che'i gdugs dpag tshad bcus 'khor ba tsam thogs nas	che_0 gdugs_6 dpog_12 tshad_17 'chu_23 'khor_28 ba_34 tsam_37 thogs_42 nas_48 
K10D0177_H0178:377a-0	/ bcom ldan 'das kyi dbu'i gtsug gi steng @377a *//	'joms_2 ldan_7 'da'_12 kyi_17 dbu_21 gtsug_27 gi_33 steng_36 
