K10D0273=D0511=D0853_H0275:88a-0	@88a / / gya gar skad du /	gar_13 skad_17 du_22 
K10D0273=D0511=D0853_H0275:88a-1	a'arya dva da sha bud dhi kan n'a ma ma h'a y'a na s'u tra /	a_0 dva_7 da_11 sha_14 'bud_18 dhi_22 kan_26 n_30 ma_34 ma_37 h_40 y_44 na_48 s_51 tra_55 
K10D0273=D0511=D0853_H0275:88a-2	bod skad du /	'bod_0 skad_4 du_9 
K10D0273=D0511=D0853_H0275:88a-3	'phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo /	'phag_0 ba_7 sangs_10 rgya_16 'chu_22 gnyis_26 ba_32 zhes_35 byed_40 ba_44 theg_47 ba_52 chen_55 po_60 mdo_65 
K10D0273=D0511=D0853_H0275:88a-4	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K10D0273=D0511=D0853_H0275:88a-5	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K10D0273=D0511=D0853_H0275:88a-6	'di skad bdag gis thos pa dus cig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 cig_30 na_34 
K10D0273=D0511=D0853_H0275:88a-7	bcom ldan 'das rgyal po'i khab na bya rgod kyi	'joms_0 ldan_5 'da'_10 rgyal_15 po_21 khab_26 na_31 byed_34 rgod_38 kyi_43 
K10D0273=D0511=D0853_H0275:88a-8	phung po'i ri la dge slong stong nyis brgya lnga	'phung_0 po_6 ri_11 la_14 dge_17 slong_21 stong_27 nyis_33 brgya_38 lnga_44 
K10D0273=D0511=D0853_H0275:88a-9	bcu'i dge slong gi dge 'dun chen po dang thabs	'chu_0 dge_6 slong_10 gi_16 dge_19 'dun_23 chen_28 po_33 dang_36 thabs_41 
K10D0273=D0511=D0853_H0275:88a-10	gcig tu bzhugs te /	gcig_0 tu_5 bzhugs_8 te_15 
