K12D0378-0379-2_H0388-2:554b-0	@554b / / ur khrod bdag mos gsol pa /	khrod_13 bdag_19 mos_24 gsol_28 ba_33 
K12D0378-0379-2_H0388-2:554b-1	lha mo rnams kyi sku mdog ni //	lha_0 mo_4 rnams_7 kyi_13 sku_17 mdog_21 ni_26 
K12D0378-0379-2_H0388-2:555a-0	ji ltar shes ni grol @555a *//	ji_0 ltar_3 shes_8 ni_13 grol_16 
K12D0378-0379-2_H0388-2:555a-1	grol bar 'gyur //	grol_0 ba_5 'gyur_9 
K12D0378-0379-2_H0388-2:555a-2	phag mo zhes bya //	phag_0 mo_5 zhes_8 byed_13 
K12D0378-0379-2_H0388-2:555a-3	phag mo zhes bya gang la bya //	phag_0 mo_5 zhes_8 byed_13 gang_17 la_22 byed_25 
K12D0378-0379-2_H0388-2:555a-4	yi ge'i don ni gang la bskyal //	yi_0 ge_3 don_8 ni_12 gang_15 la_20 skyel_23 
K12D0378-0379-2_H0388-2:555a-5	bskyed rdzogs ngo bo gang la bya //	skyed_0 rdzogs_7 ngo_14 'bo_18 gang_21 la_26 byed_29 
K12D0378-0379-2_H0388-2:555a-6	dpa' bo he ru kas bka' stsal pa /	dpa'_0 'bo_5 he_8 ru_11 kas_14 bka'_18 stsal_23 ba_29 
K12D0378-0379-2_H0388-2:555a-7	nyon cig dur khrod phag mo khyod //	nyon_0 cig_5 dur_9 khrod_13 phag_19 mo_24 khyod_27 
K12D0378-0379-2_H0388-2:555a-8	nyes pa'i skyon gyis ma gos ba //	nyes_0 ba_5 skyon_10 gyis_16 ma_21 gos_24 ba_28 
K12D0378-0379-2_H0388-2:555a-9	dkar zhing sbros bral zhi bar byed //	dkar_0 zhing_5 sbros_11 'bral_17 zhi_22 ba_26 byed_30 
K12D0378-0379-2_H0388-2:555a-10	ma chags skyon gyis ma gos pa //	ma_0 chags_3 skyon_9 gyis_15 ma_20 gos_23 ba_27 
K12D0378-0379-2_H0388-2:555a-11	dmar la gdang ba sgra sgrogs yum /	dmar_0 la_5 gdang_8 ba_14 sgra_17 sgrogs_22 yum_29 
K12D0378-0379-2_H0388-2:555a-12	skyon med sems nyid rang dbang 'dus //	skyon_0 med_6 sems_10 nyid_15 rang_20 dbang_25 'du_31 
K12D0378-0379-2_H0388-2:555a-13	gnyen po gcig kyang mi 'gyur bas //	gnyen_0 po_6 gcig_9 kyang_14 mi_20 'gyur_23 ba_29 
K12D0378-0379-2_H0388-2:555a-14	khros ma nam mkha'i kha dog bzhin //	khro_0 ma_6 nam_9 mkha_13 kha_20 dog_24 bzhin_28 
K12D0378-0379-2_H0388-2:555a-15	mi 'gyur rang sems dbyings su grol //	mi_0 'gyur_3 rang_9 sems_14 dbyings_19 su_27 grol_30 
K12D0378-0379-2_H0388-2:555a-16	che ba ye shes la rgyas pa //	che_0 ba_4 ye_7 shes_10 la_15 rgya_18 ba_24 
