K12D0417-18-2_H0378-2:353b-0	@353b / / do rje'i snying pos gsol pa /	rje_13 snying_19 pos_26 gsol_30 ba_35 
K12D0417-18-2_H0378-2:353b-1	bcom ldan rdo rje snying po bdag /	'joms_0 ldan_5 rdo_10 rje_14 snying_18 po_25 bdag_28 
K12D0417-18-2_H0378-2:353b-2	sangs rgyas thams cad gcig bsdus pha //	sangs_0 rgya_6 thams_12 cad_18 gcig_22 sdud_27 pha_33 
K12D0417-18-2_H0378-2:353b-3	rab gnas mtshan nyid bzang po nyid //	rab_0 gnas_4 mtshan_9 nyid_16 bzang_21 po_27 nyid_30 
K12D0417-18-2_H0378-2:353b-4	rim pa ji bzhin bshad du gsol //	rim_0 ba_4 ji_7 bzhin_10 'chad_16 du_22 gsol_25 
K12D0417-18-2_H0378-2:353b-5	bcom ldan 'das kyis bka' stsal ba //	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K12D0417-18-2_H0378-2:353b-6	ci gsungs sbyin sreg byas nas ni //	ci_0 gsungs_3 sbyin_10 sreg_16 byed_21 nas_26 ni_30 
K12D0417-18-2_H0378-2:353b-7	dkyil 'khor dam pa bzhengs pa dang //	dkyil_0 'khor_6 dam_12 ba_16 bzhengs_19 ba_27 dang_30 
K12D0417-18-2_H0378-2:353b-8	snga bar sku gzugs sbyang ba dang //	snga_0 ba_5 sku_9 gzugs_13 sbyong_19 ba_26 dang_29 
K12D0417-18-2_H0378-2:353b-9	sta gon la sogs byas nas ni //	sta_0 gon_4 la_8 sogs_11 byed_16 nas_21 ni_25 
K12D0417-18-2_H0378-2:353b-10	nam mkhar bzhugs pa'i sangs rgyas kun //	nam_0 mkhar_4 bzhugs_10 ba_17 sangs_22 rgya_28 kun_34 
K12D0417-18-2_H0378-2:353b-11	sku gzugs snying gar rab tu gzhug //	sku_0 gzugs_4 snying_10 gar_17 rab_21 tu_25 'jug_28 
K12D0417-18-2_H0378-2:353b-12	rang 'dod lha mnyam rnal 'byor pa //	rang_0 'dod_5 lha_10 mnyam_14 rnal_20 'byor_25 ba_31 
K12D0417-18-2_H0378-2:353b-13	rab mthong sngags kyi pha rol son //	rab_0 mthong_4 sngags_11 kyi_18 pha_22 rol_26 son_30 
K12D0417-18-2_H0378-2:353b-14	aom badzra pushpe a'a: h'um sv'a h'a /	aom_0 badzra_4 pushpe_11 a:_18 h_23 sv_28 h_33 
K12D0417-18-2_H0378-2:353b-15	aom badzra dhu pe a'a: h'um sv'a h'a /	aom_0 badzra_4 dhu_11 pe_15 a:_18 h_23 sv_28 h_33 
K12D0417-18-2_H0378-2:353b-16	aom badzra d'i pe a'a: h'um sv'a h'a /	aom_0 badzra_4 d_11 pe_15 a:_18 h_23 sv_28 h_33 
K12D0417-18-2_H0378-2:353b-17	aom badzra gandha a'a: h'um sv'a h'a /	aom_0 badzra_4 gandha_11 a:_18 h_23 sv_28 h_33 
K12D0417-18-2_H0378-2:353b-18	aom badzra nee wi dye a'a: h'um sv'ah'a /	aom_0 badzra_4 nee_11 wi_15 dye_18 a:_22 h_27 sv'a_32 
K12D0417-18-2_H0378-2:353b-19	sna tshogs h'um ni rdzogs pa dang //	sna_0 tshogs_4 h_11 ni_16 rdzogs_19 ba_26 dang_29 
K12D0417-18-2_H0378-2:353b-20	me tog la sogs dbul ba nyid //	me_0 tog_3 la_7 sogs_10 'bul_15 ba_20 nyid_23 
K12D0417-18-2_H0378-2:353b-21	gong ma'i rgyud kyi chog rim pas //	gong_0 ma_5 brgyud_10 kyi_16 chog_20 rim_25 ba_29 
K12D0417-18-2_H0378-2:353b-22	mchod yon zhabs bsil gong ma bzhin //	mchod_0 yon_6 zhabs_10 bsil_16 gong_21 ma_26 bzhin_29 
K12D0417-18-2_H0378-2:354a-0	zhi ba'i thab khung zlum @354a *//	zhi_0 ba_4 thab_9 khung_14 zlum_20 
K12D0417-18-2_H0378-2:354a-1	po nyid; ;rgyas pa nyid kyi gru bzhi pa //	po_0 nyid;_3 ;rgyas_9 ba_16 nyid_19 kyi_24 gru_28 bzhi_32 ba_37 
K12D0417-18-2_H0378-2:354a-2	gsad pa la ni gru gsum brjod //	gsad_0 ba_5 la_8 ni_11 gru_14 gsum_18 rjod_23 
K12D0417-18-2_H0378-2:354a-3	'di nyid la ni lhag ma sgrub //	'di_0 nyid_4 la_9 ni_12 lhag_15 ma_20 sgrub_23 
K12D0417-18-2_H0378-2:354a-4	khru gang dang ni khru phyed nyid //	khru_0 gang_5 dang_10 ni_15 khru_18 phyed_23 nyid_29 
K12D0417-18-2_H0378-2:354a-5	zhi ba'i steng dang 'og tu yin; ;khru do dang ni khru gang nyid //	zhi_0 ba_4 steng_9 dang_15 'og_20 tu_24 yin;_27 ;khru_32 do_38 dang_41 ni_46 khru_49 gang_54 nyid_59 
K12D0417-18-2_H0378-2:354a-6	rgyas pa'i steng dang 'og tu brjod //	rgya_0 ba_6 steng_11 dang_17 'og_22 tu_26 rjod_29 
K12D0417-18-2_H0378-2:354a-7	sor mo nyi shu'am de yi phyed //	sor_0 mo_4 nyi_7 shu_11 de_18 yi_21 phyed_24 
K12D0417-18-2_H0378-2:354a-8	gsad pa'i steng dang 'og tu yang //	gsad_0 ba_5 steng_10 dang_16 'og_21 tu_25 yang_28 
K12D0417-18-2_H0378-2:354a-9	zhi bar kha dog dkar po 'gyur //	zhi_0 ba_4 kha_8 dog_12 dkar_16 po_21 'gyur_24 
K12D0417-18-2_H0378-2:354a-10	rgyas par ser po de bzhin no //	rgya_0 ba_6 ser_10 po_14 de_17 bzhin_20 no_26 
K12D0417-18-2_H0378-2:354a-11	gsad pa la ni kha dog nag /	gsad_0 ba_5 la_8 ni_11 kha_14 dog_18 nag_22 
K12D0417-18-2_H0378-2:354a-12	dbang la dmar por rab tu grags //	dbang_0 la_6 dmar_9 por_14 rab_18 tu_22 grags_25 
K12D0417-18-2_H0378-2:354a-13	dbang la ji bzhin de ltar dgug /	dbang_0 la_6 ji_9 bzhin_12 de_18 ltar_21 'gugs_26 
K12D0417-18-2_H0378-2:354a-14	gsad la ji ltar zhe sdang sogs //	gsad_0 la_5 ji_8 ltar_11 zhe_16 sdang_20 sogs_26 
