K12D0460B(39b6-7)=D0952_H0428:247b-0	@247b / / kon mchog gsum la phyag 'tshal lo //	mchog_14 gsum_20 la_25 phyag_28 'tshal_34 lo_41 
K12D0460B(39b6-7)=D0952_H0428:247b-1	gnod sbyin gyi sde dpon chen po lag na rdo rje drag po la phyag 'tshal lo //	gnod_0 sbyin_5 gyi_11 sde_15 dpon_19 chen_24 po_29 lag_32 na_36 rdo_39 rje_43 drag_47 po_52 la_55 phyag_58 'tshal_64 lo_71 
K12D0460B(39b6-7)=D0952_H0428:247b-2	aom mu tsi ni sv'a h'a /	aom_0 mu_4 tsi_7 ni_11 sv_14 h_19 
K12D0460B(39b6-7)=D0952_H0428:247b-3	mu khe sa sv'a h'a /	mu_0 khe_3 sa_7 sv_10 h_15 
K12D0460B(39b6-7)=D0952_H0428:247b-4	mo ha ni sv'ah'a /	mo_0 ha_3 ni_6 sv'a_9 
K12D0460B(39b6-7)=D0952_H0428:247b-5	dinti ri sv'a h'a /	dinti_0 ri_6 sv_9 h_14 
K12D0460B(39b6-7)=D0952_H0428:247b-6	cho ga ni /	cho_0 ga_4 ni_7 
K12D0460B(39b6-7)=D0952_H0428:247b-7	chu khyor ba gang la bzlas pa byas te 'thungs nas sems bzhin du nyal na /	chu_0 khyor_4 ba_10 gang_13 la_18 bzlas_21 ba_27 byed_30 te_35 'thung_38 nas_46 sems_50 bzhin_55 du_61 nyal_64 na_69 
K12D0460B(39b6-7)=D0952_H0428:247b-8	lag na rdo rjes rmi lam ston par 'gyur ro //	lag_0 na_4 rdo_7 rjes_11 rmi_16 lam_20 ston_24 ba_29 'gyur_33 ro_39 
K12D0460B(39b6-7)=D0952_H0428:247b-9	rmi lam mthong ba zhes bya ba'i gzungs rdzogs so //	rmi_0 lam_4 mthong_8 ba_15 zhes_18 byed_23 ba_27 gzungs_32 rdzogs_39 so_46 
