K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-0	@325a dkon @325b mchog gsum la phyag 'tshal lo //	dkon(d)_6 mchog_17 gsum_23 la_28 phyag_31 'tshal_37 lo_44 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-1	sy'ad ya the dan /	sy_0 ya_6 the_9 dan_13 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-2	kha te kha te /	kha_0 te_4 kha_7 te_11 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-3	kha ta bi kha te /	kha_0 ta_4 bi_7 kha_10 te_14 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-4	tsa le bi tsa le /	tsa_0 le_4 bi_7 tsa_10 le_14 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-5	bi lam bi ba le ba la pa te /	bi_0 lam_3 bi_7 ba_10 le_13 ba_16 la_19 ba_22 te_25 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-6	tsan dre tsa ra ne /	tsan_0 dre_5 tsa_9 ra_13 ne_16 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-7	aa mri ta ni ra gho she /	aa_0 mri_3 ta_7 ni_10 ra_13 gho_16 she_20 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-8	rlung mkhris bad kan 'dus pa zhi bar gyur cig sv'ah'a /	rlung_0 mkhris_6 bad_13 kan_17 'du_21 ba_26 zhi_29 ba_33 gyur_37 cig_42 sv'a_46 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-9	nad pa'i sman la gdab bo //	nad_0 ba_4 sman_9 la_14 gdab_17 'bo_22 
K12D0505B(286a6-7)=[D1059B(190a1-190a2)]_H0563:325a-10	stong chen mo nas phyung ba sman la sngags kyi gdab pa rdzogs so ////	stong_0 chen_6 mo_11 nas_14 'byin_18 ba_25 sman_28 la_33 sngags_36 kyi_43 gdab_47 ba_52 rdzogs_55 so_62 
