K12D0528=D0858_H0534=H0679:194b-0	@194b rgya gar skad du /	rgya_6 gar_11 skad_15 du_20 
K12D0528=D0858_H0534=H0679:194b-1	a'arya aa gra pra d'i pa dh'a dru ra n'i bidy'a r'a dz'a /	a_0 aa_7 gra_10 pra_14 d_18 ba_22 dh_25 dru_30 ra_34 n_37 bidy_41 r_48 dz_52 
K12D0528=D0858_H0534=H0679:194b-2	bod skad du /	'bod_0 skad_4 du_9 
K12D0528=D0858_H0534=H0679:194b-3	'phags pa rig sngags kyi rgyal mo sgron ma mchog gi gzungs /	'phag_0 ba_7 rig_10 sngags_14 kyi_21 rgyal_25 mo_31 sgron_34 ma_40 mchog_43 gi_49 gzungs_52 
K12D0528=D0858_H0534=H0679:194b-4	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K12D0528=D0858_H0534=H0679:194b-5	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K12D0528=D0858_H0534=H0679:194b-6	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K12D0528=D0858_H0534=H0679:194b-7	bcom ldan 'das mnyan yod na rgyal bu rgyal byed	'joms_0 ldan_5 'da'_10 nyan_15 yod_21 na_25 rgyal_28 bu_34 rgyal_37 byed_43 
K12D0528=D0858_H0534=H0679:194b-8	kyi tshal mgon med zas sbyin gyi kun dga' ra	kyi_0 tshal_4 mgon_10 med_15 zas_19 sbyin_23 gyi_29 kun_33 dga'_37 ra_42 
K12D0528=D0858_H0534=H0679:194b-9	ba na dge slong stong nyis brgya lnga bcu'i dge	ba_0 na_3 dge_6 slong_10 stong_16 nyis_22 brgya_27 lnga_33 'chu_38 dge_44 
K12D0528=D0858_H0534=H0679:194b-10	slong gi dge 'dun chen po dang /	slong_0 gi_6 dge_9 'dun_13 chen_18 po_23 dang_26 
K12D0528=D0858_H0534=H0679:194b-11	lha dang mi 'bum phrag du ma dang /	lha_0 dang_4 mi_9 'bum_12 phrag_17 du_23 ma_26 dang_29 
K12D0528=D0858_H0534=H0679:194b-12	byang chub sems dpa' 'bum phrag du ma dang thabs	byang_0 chub_6 sems_11 dpa'_16 'bum_21 phrag_26 du_32 ma_35 dang_38 thabs_43 
K12D0528=D0858_H0534=H0679:194b-13	cig tu bzhugs te yongs su bskor cing mdun gyis	cig_0 tu_4 bzhugs_7 te_14 yongs_17 su_23 skor_26 cing_32 mdun_37 gyis_42 
K12D0528=D0858_H0534=H0679:194b-14	bltas nas chos ston to //	lta_0 nas_6 chos_10 ston_15 to_20 
K12D0528=D0858_H0534=H0679:194b-15	sangs rgyas kyi zhing 'di nas sangs rgyas kyi zhing	sangs_0 rgya_6 kyi_12 zhing_16 'di_22 nas_26 sangs_30 rgya_36 kyi_42 zhing_46 
K12D0528=D0858_H0534=H0679:194b-16	bye ba brgya phrag 'das pa na 'jig rten gyi	'bye_0 ba_4 brgya_7 phrag_13 'da'_19 ba_24 na_27 'jig_30 rten_35 gyi_40 
K12D0528=D0858_H0534=H0679:194b-17	khams me tog mtha' yas zhes bya ba de na	khams_0 me_6 tog_9 mtha'_13 yas_19 zhes_23 byed_28 ba_32 de_35 na_38 
K12D0528=D0858_H0534=H0679:194b-18	de bzhin gshegs pa dgra bcom pa yang dag par	de_0 bzhin_3 gshegs_9 ba_16 dgra_19 'joms_24 ba_29 yang_32 'dag_37 ba_41 
K12D0528=D0858_H0534=H0679:194b-19	rdzogs pa'i sangs rgyas sgrol ma mchog ces bya ba	rdzogs_0 ba_7 sangs_12 rgya_18 sgrol_24 ma_30 mchog_33 ces_39 byed_43 ba_47 
K12D0528=D0858_H0534=H0679:194b-20	da ltar bzhugs te 'tsho zhing gzhes la chos kyang	da_0 ltar_3 bzhugs_8 te_15 'tsho_18 zhing_24 gzhes_30 la_36 chos_39 kyang_44 
K12D0528=D0858_H0534=H0679:194b-21	ston pa des byang chub sems dpa' 'od chen po	ston_0 ba_5 des_8 byang_12 chub_18 sems_23 dpa'_28 'od_33 chen_37 po_42 
K12D0528=D0858_H0534=H0679:194b-22	dang / 'od dpag med ces bya ba byang chub	dang_0 'od_7 dpog_11 med_16 ces_20 byed_24 ba_28 byang_31 chub_37 
K12D0528=D0858_H0534=H0679:194b-23	sems dpa' gnyis 'jig rten gyi khams mi mdzed 'dir	sems_0 dpa'_5 gnyis_10 'jig_16 rten_21 gyi_26 khams_30 mi_36 mdzed_39 'dir_45 
K12D0528=D0858_H0534=H0679:195a-0	dang / gtang ngo // de nas byang chub sems dpa' de gnyis rgyal bu rgyal byed @195a *//	dang_0 gtong_7 ngo_13 de_20 nas_23 byang_27 chub_33 sems_38 dpa'_43 de_48 gnyis_51 rgyal_57 bu_63 rgyal_66 byed_72 
K12D0528=D0858_H0534=H0679:195a-1	kyi tshal mgon med zas sbyin gyi kun dga' ra ba ga la ba dang /	kyi_0 tshal_4 mgon_10 med_15 zas_19 sbyin_23 gyi_29 kun_33 dga'_37 ra_42 ba_45 ga_48 la_51 ba_54 dang_57 
K12D0528=D0858_H0534=H0679:195a-2	bcom ldan 'das de bzhin gshegs pa dgra bcom pa	'joms_0 ldan_5 'da'_10 de_15 bzhin_18 gshegs_24 ba_31 dgra_34 'joms_39 ba_44 
K12D0528=D0858_H0534=H0679:195a-3	yang dag par rdzogs pa'i sangs rgyas sh'akya thub pa	yang_0 'dag_5 ba_9 rdzogs_13 ba_20 sangs_25 rgya_31 sh_37 thub_45 ba_50 
K12D0528=D0858_H0534=H0679:195a-4	ga la bder song ste phyin nas bcom ldan 'das	ga_0 la_3 bder_6 'gro_11 ste_16 phyin_20 nas_26 'joms_30 ldan_35 'da'_40 
K12D0528=D0858_H0534=H0679:195a-5	kyi zhabs la mgo bos phyag 'tshal te bcom ldan	kyi_0 zhabs_4 la_10 mgo_13 'bod_17 phyag_21 'tshal_27 te_34 'joms_37 ldan_42 
K12D0528=D0858_H0534=H0679:195a-6	'das la lan gsum bskor ba byas nas phyogs gcig	'da'_0 la_5 lan_8 gsum_12 skor_17 ba_23 byed_26 nas_31 phyogs_35 gcig_42 
K12D0528=D0858_H0534=H0679:195a-7	tu 'dug go / phyogs gcig tu 'dug nas byang	tu_0 'dug_3 go_8 phyogs_13 gcig_20 tu_25 'dug_28 nas_33 byang_37 
K12D0528=D0858_H0534=H0679:195a-8	chub sems dpa' de gnyis kyis bcom ldan 'das la	chub_0 sems_5 dpa'_10 de_15 gnyis_18 kyis_24 'joms_29 ldan_34 'da'_39 la_44 
K12D0528=D0858_H0534=H0679:195a-9	'di skad ces gsol to //	'di_0 skad_4 ces_9 gsol_13 to_18 
K12D0528=D0858_H0534=H0679:195a-10	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K12D0528=D0858_H0534=H0679:195a-11	sangs rgyas kyi zhing bye ba khrag 'bum 'das pa	sangs_0 rgya_6 kyi_12 zhing_16 'bye_22 ba_26 khrag_29 'bum_35 'da'_40 ba_45 
K12D0528=D0858_H0534=H0679:195a-12	na 'jig rten gyi khams me tog mtha' yas zhes	na_0 'jig_3 rten_8 gyi_13 khams_17 me_23 tog_26 mtha'_30 yas_36 zhes_40 
K12D0528=D0858_H0534=H0679:195a-13	bgyi ba de na de bzhin gshegs pa dgra bcom	bgyid_0 ba_5 de_8 na_11 de_14 bzhin_17 gshegs_23 ba_30 dgra_33 'joms_38 
K12D0528=D0858_H0534=H0679:195a-14	pa yang dag par rdzogs pa'i sangs rgyas sgrol ma	ba_0 yang_3 'dag_8 ba_12 rdzogs_16 ba_23 sangs_28 rgya_34 sgrol_40 ma_46 
K12D0528=D0858_H0534=H0679:195a-15	mchog ces bgyi ba da ltar bzhugs te 'tshe zhing	mchog_0 ces_6 bgyid_10 ba_15 da_18 ltar_21 bzhugs_26 te_33 'tshe_36 zhing_42 
K12D0528=D0858_H0534=H0679:195a-16	gzhes la chos kyang ston to //	gzhes_0 la_6 chos_9 kyang_14 ston_20 to_25 
K12D0528=D0858_H0534=H0679:195a-17	bcom ldan 'das de bzhin gshegs pa dgra bcom pa	'joms_0 ldan_5 'da'_10 de_15 bzhin_18 gshegs_24 ba_31 dgra_34 'joms_39 ba_44 
