K12D0539A-G_H0580:332a-0	@332a aom na mo bha ga ba te ratna ke tu r'a dz'a ya /	aom_6 na_10 mo_13 bha_16 ga_20 ba_23 te_26 ratna_29 ke_35 tu_38 r_41 dz_45 ya_50 
K12D0539A-G_H0580:332a-1	ta th'a ga t'a ya /	ta_0 th_3 ga_8 t_11 ya_15 
K12D0539A-G_H0580:332a-2	aarha te samyaksam buddh'a ya /	aarha_0 te_6 samyaksam_9 buddh_19 ya_27 
K12D0539A-G_H0580:332a-3	tadya th'a /	tadya_0 th_6 
K12D0539A-G_H0580:332a-4	aom ratne ratne ma h'a ratne ratna bi dza ye sv'ah'a /	aom_0 ratne_4 ratne_10 ma_16 h_19 ratne_23 ratna_29 bi_35 dza_38 ye_42 sv'a_45 
K12D0539A-G_H0580:332a-5	zhes lan brgyad brjod pas phyag bya'o ////	zhes_0 lan_5 brgyad_9 rjod_16 ba_22 phyag_26 byed_32 
K12D0539A-G_H0580:332a-6	na ma:sarba buddh'a bo dhi satv'a nam/	na_0 ma:sarba_3 buddh_12 'bo_20 dhi_23 satv_27 
K12D0539A-G_H0580:332a-7	sarba tra sam ku su mi d'a bhi dzny'a r'a si ni na mo stu te sv'ah'a /	sarba_0 tra_6 sam_10 ku_14 su_17 mi_20 d_23 bhi_27 dzny_31 r_38 si_42 ni_45 na_48 mo_51 stu_54 te_58 sv'a_61 
K12D0539A-G_H0580:332a-8	zhes lan brgyad brjod pas bstod pa'o ////	zhes_0 lan_5 brgyad_9 rjod_16 ba_22 bstod_26 ba_32 
K12D0539A-G_H0580:332a-9	aom sarba ta th'a ga t'a p'u dza me gha	aom_0 sarba_4 ta_10 th_13 ga_18 t_21 p_25 dza_29 me_33 gha_36 
K12D0539A-G_H0580:332a-10	pra sa ra sa m'u he spha ra na ai	pra_0 sa_4 ra_7 sa_10 m_13 he_17 spha_20 ra_25 na_28 ai_31 
K12D0539A-G_H0580:332a-11	mam ga ga na kam h'um zhes pas mchod pa	mam_0 ga_4 ga_7 na_10 kam_13 h_17 zhes_22 ba_27 mchod_31 ba_37 
K12D0539A-G_H0580:332a-12	byin gyis brlab bo //	byin_0 gyis_5 brlab_10 'bo_16 
K12D0539A-G_H0580:332a-13	na ma:sarba buddha bo dhi satv'a n'am/	na_0 ma:sarba_3 buddha_12 'bo_19 dhi_22 satv_26 
K12D0539A-G_H0580:332a-14	sarba th'a aung+ga te spha ra na ai mam ga ga na kham sa manta sv'ah'a /	sarba_0 th_6 aung_11 ga_16 te_19 spha_22 ra_27 na_30 ai_33 mam_36 ga_40 ga_43 na_46 kham_49 sa_54 manta_57 sv'a_63 
K12D0539A-G_H0580:332a-15	zhes lan brgyad brjod pas mchod pa'i sbrin 'byung ngo //	zhes_0 lan_5 brgyad_9 rjod_16 ba_22 mchod_26 ba_32 sbrin_37 'byung_43 ngo_50 
K12D0539A-G_H0580:332a-16	na ma:sarba buddha bo dhi satve bhya:/	na_0 ma:sarba_3 buddha_12 'bo_19 dhi_22 satve_26 
K12D0539A-G_H0580:332a-17	sarba bi ta p'u ra p'u ra /	sarba_0 bi_6 ta_9 p_12 ra_16 p_19 ra_23 
K12D0539A-G_H0580:332a-18	aa brt'a aa bha ye sv'ah'a /	aa_0 brt_3 aa_9 bha_12 ye_16 sv'a_19 
K12D0539A-G_H0580:332a-19	zhes brjod pas de bzhin gshegs pa rnams la mchod	zhes_0 rjod_5 ba_11 de_15 bzhin_18 gshegs_24 ba_31 rnams_34 la_40 mchod_43 
K12D0539A-G_H0580:332a-20	pa dang nye gnas dang zhabs la spyi bos phyag	ba_0 dang_3 nye_8 gnas_12 dang_17 zhabs_22 la_28 spyi_31 'bod_36 phyag_40 
K12D0539A-G_H0580:332a-21	byas par 'gyur ro ////	byed_0 ba_5 'gyur_9 ro_15 
