K12D0589=D0945_H0760:138b-0	@138b 'phags @139a *//	'phag_6 
K12D0589=D0945_H0760:138b-1	pa lang kar gshegs pa la phyag 'tshal lo //	ba_0 lang_3 kar_8 gshegs_12 ba_19 la_22 phyag_25 'tshal_31 lo_38 
K12D0589=D0945_H0760:138b-2	blo gros chen po /	blo_0 gros_4 chen_9 po_14 
K12D0589=D0945_H0760:138b-3	sngags kyi tshig 'di dag bshad par bya'o //	sngags_0 kyi_7 tshig_11 'di_17 'dag_21 'chad_25 ba_31 byed_35 
K12D0589=D0945_H0760:138b-4	tadya th'a /	tadya_0 th_6 
K12D0589=D0945_H0760:138b-5	aom padme padme de bee /	aom_0 padme_4 padme_10 de_16 bee_19 
K12D0589=D0945_H0760:138b-6	hi ne hi ne /	hi_0 ne_3 hi_6 ne_9 
K12D0589=D0945_H0760:138b-7	tsu lu cu lu tsu lu /	tsu_0 lu_4 cu_7 lu_10 tsu_13 lu_17 
K12D0589=D0945_H0760:138b-8	hu le hu le hu le /	hu_0 le_3 hu_6 le_9 hu_12 le_15 
K12D0589=D0945_H0760:138b-9	yu le yu le yu le /	yu_0 le_3 yu_6 le_9 yu_12 le_15 
K12D0589=D0945_H0760:138b-10	pa le pa le pa le /	ba_0 le_3 ba_6 le_9 ba_12 le_15 
K12D0589=D0945_H0760:138b-11	m'um tstshe da na de /	m_0 tstshe_5 da_12 na_15 de_18 
K12D0589=D0945_H0760:138b-12	bhi na de bhan dzva /	bhi_0 na_4 de_7 bhan_10 dzva_15 
K12D0589=D0945_H0760:138b-13	man de pra ma de /	man_0 de_4 pra_7 ma_11 de_14 
K12D0589=D0945_H0760:138b-14	dhi na ka re sv'ah'a /	dhi_0 na_4 ka_7 re_10 sv'a_13 
K12D0589=D0945_H0760:138b-15	blo gros chen po /	blo_0 gros_4 chen_9 po_14 
K12D0589=D0945_H0760:138b-16	rigs kyi bu'am /	rigs_0 kyi_5 bu_9 
