K12D0611=D0143=D0918_H0600:457a-0	@457a rgya gar skad du /	rgya_6 gar_11 skad_15 du_20 
K12D0611=D0143=D0918_H0600:457a-1	g'a th'a dvi ya dh'a ra n'i /	g_0 th_4 dvi_9 ya_13 dh_16 ra_21 n_24 
K12D0611=D0143=D0918_H0600:457a-2	bod skad du /	'bod_0 skad_4 du_9 
K12D0611=D0143=D0918_H0600:457a-3	tshigs su bcad pa gnyis pa'i gzungs /	tshigs_0 su_7 gcod_10 ba_15 gnyis_18 ba_24 gzungs_29 
K12D0611=D0143=D0918_H0600:457a-4	'jam dpal gzhon nur gyur pa la phyag 'tshal lo; ;sangs rgyas dang ni chos la brnyas pa dang //	'jam_0 dpal_5 gzhon_10 nur_16 gyur_20 ba_25 la_28 phyag_31 'tshal_37 lo;_44 ;sangs_48 rgya_55 dang_61 ni_66 chos_69 la_74 brnyas_77 ba_84 dang_87 
K12D0611=D0143=D0918_H0600:457a-5	le lo dang ni cung zad chog par 'dzin //	le_0 lo_3 dang_6 ni_11 cung_14 zad_19 chog_23 ba_28 'dzin_32 
K12D0611=D0143=D0918_H0600:457a-6	'dod chags dang ni nga rgyal spyod pa dang //	'dod_0 chags_5 dang_11 ni_16 nga_19 rgyal_23 spyod_29 ba_35 dang_38 
K12D0611=D0143=D0918_H0600:457a-7	'gyod pa dang ni ma nges spyod pa rnams //	'gyod_0 ba_6 dang_9 ni_14 ma_17 nges_20 spyod_25 ba_31 rnams_34 
K12D0611=D0143=D0918_H0600:457a-8	sems can rnams kyi sgrib par gyur pa ste //	sems_0 can_5 rnams_9 kyi_15 sgrib_19 ba_25 gyur_29 ba_34 ste_37 
K12D0611=D0143=D0918_H0600:457a-9	de yi gnyen por theg pa mchog bstan pa //	de_0 yi_3 gnyen_6 por_12 theg_16 ba_21 mchog_24 ston_30 ba_36 
K12D0611=D0143=D0918_H0600:457a-10	de yis bar du gcod pa de dag gi /	de_0 yis_3 ba_7 du_11 gcod_14 ba_19 de_22 'dag_25 gi_29 
K12D0611=D0143=D0918_H0600:457a-11	nyes pa thams cad rab tu spong bar 'gyur //	nyes_0 ba_5 thams_8 cad_14 rab_18 tu_22 spong_25 ba_31 'gyur_35 
K12D0611=D0143=D0918_H0600:457b-0	@457b tadya tha /	tadya_6 tha_12 
K12D0611=D0143=D0918_H0600:457b-1	aom badzra pra k'a ra /	aom_0 badzra_4 pra_11 k_15 ra_19 
K12D0611=D0143=D0918_H0600:457b-2	badzra tsa kra /	badzra_0 tsa_7 kra_11 
K12D0611=D0143=D0918_H0600:457b-3	dam sht'a bha y'a na ke /	dam_0 sht_4 bha_10 y_14 na_18 ke_21 
K12D0611=D0143=D0918_H0600:457b-4	aa ma le /	aa_0 ma_3 le_6 
K12D0611=D0143=D0918_H0600:457b-5	bi ma lo /	bi_0 ma_3 lo_6 
K12D0611=D0143=D0918_H0600:457b-6	ni rma le /	ni_0 rma_3 le_7 
K12D0611=D0143=D0918_H0600:457b-7	tsu lu ke /	tsu_0 lu_4 ke_7 
K12D0611=D0143=D0918_H0600:457b-8	tsu lu tsu lu sarba buddhe sv'ah'a /	tsu_0 lu_4 tsu_7 lu_11 sarba_14 buddhe_20 sv'a_27 
K12D0611=D0143=D0918_H0600:457b-9	tshigs su bcad pa gnyis pa'i gzungs la ni /	tshigs_0 su_7 gcod_10 ba_15 gnyis_18 ba_24 gzungs_29 la_36 ni_39 
K12D0611=D0143=D0918_H0600:457b-10	chag gam don gyi sgo nas gang sbyor ba //	'chag_0 gam_5 don_9 gyi_13 sgo_17 nas_21 gang_25 sbyor_30 ba_36 
K12D0611=D0143=D0918_H0600:457b-11	sems can dam pa blo dang ldan pa des //	sems_0 can_5 dam_9 ba_13 blo_16 dang_20 ldan_25 ba_30 des_33 
K12D0611=D0143=D0918_H0600:457b-12	phan yon rnam pa bcu dag thob par 'gyur //	phan_0 yon_5 rnam_9 ba_14 'chu_17 'dag_21 'thob_25 ba_30 'gyur_34 
K12D0611=D0143=D0918_H0600:457b-13	khams rnams mtha' dag rtas par 'gyur ba dang //	khams_0 rnams_6 mtha'_12 'dag_18 rtas_22 ba_27 'gyur_31 ba_37 dang_40 
K12D0611=D0143=D0918_H0600:457b-14	'chi ba'i tshe na mchog dga' dam pa 'thob //	'chi_0 ba_5 tshe_10 na_15 mchog_18 dga'_24 dam_29 ba_33 'thob_36 
K12D0611=D0143=D0918_H0600:457b-15	ji ltar 'dod pa bzhin du skye ba dang //	ji_0 ltar_3 'dod_8 ba_13 bzhin_16 du_22 skye_25 ba_30 dang_33 
