K12D0660=D0997-2_H0630-2:173a-0	@173a rgya gar skad du /	rgya_6 gar_11 skad_15 du_20 
K12D0660=D0997-2_H0630-2:173a-1	gra ha m'a tri ka n'a ma dha ra n'i /	gra_0 ha_4 m_7 tri_11 ka_15 n_18 ma_22 dha_25 ra_29 n_32 
K12D0660=D0997-2_H0630-2:173a-2	bod skad du; gza' rnams kyi yum zhes bya ba'i gzungs /	'bod_0 skad_4 du;_9 gza'_13 rnams_18 kyi_24 yum_28 zhes_32 byed_37 ba_41 gzungs_46 
K12D0660=D0997-2_H0630-2:173a-3	sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs_0 rgya_6 dang_12 byang_17 chub_23 sems_28 dpa'_33 thams_38 cad_44 la_48 phyag_51 'tshal_57 lo_64 
K12D0660=D0997-2_H0630-2:173a-4	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K12D0660=D0997-2_H0630-2:173a-5	bcom ldan 'das 'brog gnas kyi grong khyer na lha dang /	'joms_0 ldan_5 'da'_10 'brog_15 gnas_21 kyi_26 grong_30 'khyer_36 na_42 lha_45 dang_49 
K12D0660=D0997-2_H0630-2:173a-6	klu dang /	klu_0 dang_4 
K12D0660=D0997-2_H0630-2:173a-7	gnod sbyin dang /	gnod_0 sbyin_5 dang_11 
K12D0660=D0997-2_H0630-2:173a-8	srin po dang /	srin_0 po_5 dang_8 
K12D0660=D0997-2_H0630-2:173a-9	dri za dang /	'dri_0 za_4 dang_7 
K12D0660=D0997-2_H0630-2:173a-10	lha ma yin dang /	lha_0 ma_4 yin_7 dang_11 
K12D0660=D0997-2_H0630-2:173a-11	nam mkha' lding dang /	nam_0 mkha'_4 lding_10 dang_16 
K12D0660=D0997-2_H0630-2:173a-12	mi 'am ci dang /	mi_0 'am_3 ci_7 dang_10 
K12D0660=D0997-2_H0630-2:173a-13	lto 'phye chen po dang /	lto_0 'phye_4 chen_10 po_15 dang_18 
K12D0660=D0997-2_H0630-2:173a-14	bdud dang /	bdud_0 dang_5 
K12D0660=D0997-2_H0630-2:173a-15	nyi ma dang /	nyi_0 ma_4 dang_7 
K12D0660=D0997-2_H0630-2:173a-16	zla ba dang /	zla_0 ba_4 dang_7 
K12D0660=D0997-2_H0630-2:173a-17	mig dmar dang /	mig_0 dmar_4 dang_9 
K12D0660=D0997-2_H0630-2:173a-18	pa ba sangs dang /	ba_0 ba_3 sangs_6 dang_12 
K12D0660=D0997-2_H0630-2:173a-19	phur bu dang /	'phur_0 bu_5 dang_8 
