K12D0682=D0901_H0682:92b-0	@92b rgya gar skad du //	rgya_5 gar_10 skad_14 du_19 
K12D0682=D0901_H0682:92b-1	a'arya aa mo gha p'a sha hri da yam n'a ma ma h'a y'a na s'u tra /	a_0 aa_7 mo_10 gha_13 p_17 sha_21 hri_25 da_29 yam_32 n_36 ma_40 ma_43 h_46 y_50 na_54 s_57 tra_61 
K12D0682=D0901_H0682:92b-2	bod skad du /	'bod_0 skad_4 du_9 
K12D0682=D0901_H0682:92b-3	'phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo /	'phag_0 ba_7 don_10 yod_14 zhags_18 ba_24 snying_29 po_36 zhes_39 byed_44 ba_48 theg_51 ba_56 chen_59 po_64 mdo_69 
K12D0682=D0901_H0682:92b-4	'phags pa don yod zhags pa la phyag 'tshal lo //	'phag_0 ba_7 don_10 yod_14 zhags_18 ba_24 la_27 phyag_30 'tshal_36 lo_43 
K12D0682=D0901_H0682:92b-5	sangs rgyas la phyag 'tshal lo //	sangs_0 rgya_6 la_12 phyag_15 'tshal_21 lo_28 
K12D0682=D0901_H0682:93a-0	thugs rje chen po @93a *//	thugs_0 rje_6 chen_10 po_15 
K12D0682=D0901_H0682:93a-1	la phyag 'tshal lo //	la_0 phyag_3 'tshal_9 lo_16 
K12D0682=D0901_H0682:93a-2	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K12D0682=D0901_H0682:93a-3	bcom ldan 'das bo ta la ka'i ri'i rtse mo	'joms_0 ldan_5 'da'_10 'bo_15 ta_18 la_21 ka_24 ri_29 rtse_34 mo_39 
K12D0682=D0901_H0682:93a-4	'phags pa spyan ras gzigs dbang phyug gi gnas sa	'phag_0 ba_7 spyan_10 ras_16 gzigs_20 dbang_26 phyug_32 gi_38 gnas_41 sa_46 
K12D0682=D0901_H0682:93a-5	ma la dang / ta ma la dang /	ma_0 la_3 dang_6 ta_13 ma_16 la_19 dang_22 
K12D0682=D0901_H0682:93a-6	tsam pa ka dang /	tsam_0 ba_5 ka_8 dang_11 
K12D0682=D0901_H0682:93a-7	mya ngan med pa dang /	mya_0 ngan_4 med_9 ba_13 dang_16 
K12D0682=D0901_H0682:93a-8	aa ti mukta ka la sogs pa mang po dang /	aa_0 ti_3 mukta_6 ka_12 la_15 sogs_18 ba_23 mang_26 po_31 dang_34 
K12D0682=D0901_H0682:93a-9	sna tshogs pa'i rin po che'i sdong pos yang dag	sna_0 tshogs_4 ba_11 rin_16 po_20 che_23 sdong_29 pos_35 yang_39 'dag_44 
K12D0682=D0901_H0682:93a-10	par brgyan par dge slong gi dge 'dun chen po	ba_0 rgyan_4 ba_11 dge_15 slong_19 gi_25 dge_28 'dun_32 chen_37 po_42 
K12D0682=D0901_H0682:93a-11	stong phrag bco brgyad dang /	stong_0 phrag_6 'chos_12 brgyad_16 dang_23 
K12D0682=D0901_H0682:93a-12	byang chub sems dpa' bye ba khrag khrig brgya stong phrag dgu bcu rtsa dgu dang /	byang_0 chub_6 sems_11 dpa'_16 'bye_21 ba_25 khrag_28 khrig_34 brgya_40 stong_46 phrag_52 dgu_58 'chu_62 rtsa_66 dgu_71 dang_75 
K12D0682=D0901_H0682:93a-13	gnas gtsang ma'i lha'i bu stong phrag du mas yongs	gnas_0 gtsang_5 ma_12 lha_17 bu_23 stong_26 phrag_32 du_38 mas_41 yongs_45 
K12D0682=D0901_H0682:93a-14	su bskor cing mdun du byas nas mang po dang	su_0 skor_3 cing_9 mdun_14 du_19 byed_22 nas_27 mang_31 po_36 dang_39 
K12D0682=D0901_H0682:93a-15	thabs cig tu bzhugs so //	thabs_0 cig_6 tu_10 bzhugs_13 so_20 
K12D0682=D0901_H0682:93a-16	dbang phyug dang /	dbang_0 phyug_6 dang_12 
K12D0682=D0901_H0682:93a-17	dbang phyug chen po dang /	dbang_0 phyug_6 chen_12 po_17 dang_20 
K12D0682=D0901_H0682:93a-18	tshangs ris kyi lha'i bu rnams gtsor byas nas chos ston to //	tshangs_0 ris_8 kyi_12 lha_16 bu_22 rnams_25 gtsor_31 byed_37 nas_42 chos_46 ston_51 to_56 
K12D0682=D0901_H0682:93a-19	de nas byang chub sems dpa' sems dpa' chen po	de_0 nas_3 byang_7 chub_13 sems_18 dpa'_23 sems_28 dpa'_33 chen_38 po_43 
K12D0682=D0901_H0682:93a-20	'phags pa spyan ras gzigs dbang phyug stan las langs	'phag_0 ba_7 spyan_10 ras_16 gzigs_20 dbang_26 phyug_32 stan_38 las_43 ldang_47 
K12D0682=D0901_H0682:93a-21	nas bla gos phrag pa gcig tu gzar nas pus	nas_0 bla_4 gos_8 phrag_12 ba_18 gcig_21 tu_26 gzar_29 nas_34 pus_38 
K12D0682=D0901_H0682:93a-22	mo g-yas pa'i lha nga sa la btsugs te /	mo_0 g-yas_3 ba_9 lha_14 nga_18 sa_22 la_25 btsugs_28 te_35 
K12D0682=D0901_H0682:93a-23	gang bcom ldan 'das la des thal mo sbyar zhing	gang_0 'joms_5 ldan_10 'da'_15 la_20 des_23 thal_27 mo_32 sbyor_35 zhing_41 
K12D0682=D0901_H0682:93a-24	phyag 'tshal nas zhal 'dzum par gyur bas bcom ldan	phyag_0 'tshal_6 nas_13 zhal_17 'dzum_22 ba_28 gyur_32 ba_37 'joms_41 ldan_46 
K12D0682=D0901_H0682:93a-25	'das la 'di skad ces gsol to //	'da'_0 la_5 'di_8 skad_12 ces_17 gsol_21 to_26 
K12D0682=D0901_H0682:93a-26	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K12D0682=D0901_H0682:93b-0	bdag la don yod zhags pa'i snying po zhes bya ba @93b yod de /	bdag_0 la_5 don_8 yod_12 zhags_16 ba_22 snying_27 po_34 zhes_37 byed_42 ba_46 yod_54 de_58 
K12D0682=D0901_H0682:93b-1	gang sngon bskal pa dgu bcu rtsa gcig na 'jig	gang_0 sngon_5 bskal_11 ba_17 dgu_20 'chu_24 rtsa_28 gcig_33 na_38 'jig_41 
K12D0682=D0901_H0682:93b-2	rten rnam par gzigs pa zhes bya ba'i 'jig rten	rten_0 rnam_5 ba_10 gzigs_14 ba_20 zhes_23 byed_28 ba_32 'jig_37 rten_42 
K12D0682=D0901_H0682:93b-3	gyi khams su 'jig rten gyi dbang po rgyal po	gyi_0 khams_4 su_10 'jig_13 rten_18 gyi_23 dbang_27 po_33 rgyal_36 po_42 
K12D0682=D0901_H0682:93b-4	de bzhin gshegs pa [?] yang dag par rdzogs pa'i	de_0 bzhin_3 gshegs_9 ba_16 yang_23 'dag_28 ba_32 rdzogs_36 ba_43 
K12D0682=D0901_H0682:93b-5	sangs rgyas las bdag gis blangs te /	sangs_0 rgya_6 las_12 bdag_16 gis_21 blangs_25 te_32 
K12D0682=D0901_H0682:93b-6	gang yang bdag gis dbang phyug dang /	gang_0 yang_5 bdag_10 gis_15 dbang_19 phyug_25 dang_31 
K12D0682=D0901_H0682:93b-7	dbang phyug chen po gtsor byas pa'i gnas gtsang ma'i	dbang_0 phyug_6 chen_12 po_17 gtsor_20 byed_26 ba_31 gnas_36 gtsang_41 ma_48 
K12D0682=D0901_H0682:93b-8	ris gyi lha'i bu brgya stong mang po yang 'dus	ris_0 gyi_4 lha_8 bu_14 brgya_17 stong_23 mang_29 po_34 yang_37 'du_42 
