K12D0841(1-8)-3_H0805-3:306a-0	@306a rgya gar skad du; pra dzny'a bha ga w'a na ma h'a r'a dz'a /	rgya_6 gar_11 skad_15 du;_20 pra_24 dzny_28 bha_35 ga_39 w_42 na_46 ma_49 h_52 r_56 dz_60 
K12D0841(1-8)-3_H0805-3:306a-1	bod skad du /	'bod_0 skad_4 du_9 
K12D0841(1-8)-3_H0805-3:306a-2	bcom ldan 'das gnyis med kyi rgyal po chen po la phyag 'tshal lo //	'joms_0 ldan_5 'da'_10 gnyis_15 med_21 kyi_25 rgyal_29 po_35 chen_38 po_43 la_46 phyag_49 'tshal_55 lo_62 
K12D0841(1-8)-3_H0805-3:306a-3	de nas spyod pa bstan te /	de_0 nas_3 spyod_7 ba_13 ston_16 te_22 
K12D0841(1-8)-3_H0805-3:306a-4	lung aa nu yog pa rdzogs pa'i rnal 'byor du bstan te; lta ba dang ni spyod pa dang //	lung_0 aa_5 nu_8 yog_11 ba_15 rdzogs_18 ba_25 rnal_30 'byor_35 du_41 ston_44 te;_50 lta_54 ba_58 dang_61 ni_66 spyod_69 ba_75 dang_78 
K12D0841(1-8)-3_H0805-3:306a-5	gzungs kyi mtshan nyid 'di gsungs so //	gzungs_0 kyi_7 mtshan_11 nyid_18 'di_23 gsungs_27 so_34 
K12D0841(1-8)-3_H0805-3:306a-6	de bzhin dam tshig chen po'ang bstan //	de_0 bzhin_3 dam_9 tshig_13 chen_19 po_24 ston_31 
K12D0841(1-8)-3_H0805-3:306a-7	las 'di lung gis bsgrub bya na //	las_0 'di_4 lung_8 gis_13 sgrub_17 byed_24 na_28 
K12D0841(1-8)-3_H0805-3:306a-8	mi spong ba ni dang du blang //	mi_0 spong_3 ba_9 ni_12 dang_15 du_20 blang_23 
K12D0841(1-8)-3_H0805-3:306a-9	spyod pa dam tshig bco lnga bsrung //	spyod_0 ba_6 dam_9 tshig_13 'chos_19 lnga_23 bsrung_28 
K12D0841(1-8)-3_H0805-3:306a-10	shes pa lnga dang srung ba gsum //	shes_0 ba_5 lnga_8 dang_13 srung_18 ba_24 gsum_27 
K12D0841(1-8)-3_H0805-3:306a-11	stong rtsa brgyad du bsrungs pas ni //	stong_0 rtsa_6 brgyad_11 du_18 bsrungs_21 ba_29 ni_33 
