K12D0841(1-8)_H0805:297a-0	@297a rgya gar skad du /	rgya_6 gar_11 skad_15 du_20 
K12D0841(1-8)_H0805:297a-1	sarba panytsa aa mri ta sa ra siddhi mah'a du	sarba_0 panytsa_6 aa_14 mri_17 ta_21 sa_24 ra_27 siddhi_30 mah_37 du_43 
K12D0841(1-8)_H0805:297a-2	ka hri da y'a na pa ra bid tvan aashta	ka_0 hri_3 da_7 y_10 na_14 ba_17 ra_20 bid_23 tvan_27 aashta_32 
K12D0841(1-8)_H0805:297a-3	/ bod skad du /	'bod_2 skad_6 du_11 
K12D0841(1-8)_H0805:297a-4	thams cad bdud rtsi lnga'i rang bzhin dngos grub chen	thams_0 cad_6 bdud_10 rtsi_15 lnga_20 rang_27 bzhin_32 dngos_38 'grub_44 chen_49 
K12D0841(1-8)_H0805:297a-5	po nye ba'i snying po mchog bam po chen po	po_0 nye_3 ba_7 snying_12 po_19 mchog_22 bam_28 po_32 chen_35 po_40 
K12D0841(1-8)_H0805:297a-6	brgyad pa / dpal kun tu bzang po la phyag 'tshal lo //	brgyad_0 ba_7 dpal_12 kun_17 tu_21 bzang_24 po_30 la_33 phyag_36 'tshal_42 lo_49 
K12D0841(1-8)_H0805:297a-7	bcom ldan gsang ba mchog gi dkyil 'khor na //	'joms_0 ldan_5 gsang_10 ba_16 mchog_19 gi_25 dkyil_28 'khor_34 na_40 
K12D0841(1-8)_H0805:297a-8	shin tu rnal 'byor dbang phyug tshogs //	shin_0 tu_5 rnal_8 'byor_13 dbang_19 phyug_25 tshogs_31 
K12D0841(1-8)_H0805:297a-9	rgyal ba rgya mtsho 'khor dang bcas //	rgyal_0 ba_6 rgya_9 mtsho_14 'khor_20 dang_26 'cha'_31 
K12D0841(1-8)_H0805:297a-10	skal ldan rnams dang thabs cig bzhugs //	skal_0 ldan_5 rnams_10 dang_16 thabs_21 cig_27 bzhugs_31 
K12D0841(1-8)_H0805:297a-11	gnas mchog yum gyi dkyil 'khor na //	gnas_0 mchog_5 yum_11 gyi_15 dkyil_19 'khor_25 na_31 
K12D0841(1-8)_H0805:297a-12	gnyis med lhun gyis gnas pa'i tshe //	gnyis_0 med_6 lhun_10 gyis_15 gnas_20 ba_25 tshe_30 
K12D0841(1-8)_H0805:297a-13	de tshe nyan thos dge 'dun dang //	de_0 tshe_3 nyan_8 thos_13 dge_18 'dun_22 dang_27 
K12D0841(1-8)_H0805:297a-14	rang rgyal theg chen mdo sde dang //	rang_0 rgyal_5 theg_11 chen_16 mdo_21 sde_25 dang_29 
K12D0841(1-8)_H0805:297a-15	byang chub sems dpa'i dge 'dun dang //	byang_0 chub_6 sems_11 dpa_16 dge_22 'dun_26 dang_31 
K12D0841(1-8)_H0805:297a-16	nyan thos dge 'dun chen po dang //	nyan_0 thos_5 dge_10 'dun_14 chen_19 po_24 dang_27 
K12D0841(1-8)_H0805:297a-17	dgra bcom ming yang med nang du //	dgra_0 'joms_5 ming_10 yang_15 med_20 nang_24 du_29 
K12D0841(1-8)_H0805:297b-0	kun @297b bzang thugs kyi dkyil 'khor nas //	kun_0 bzang_10 thugs_16 kyi_22 dkyil_26 'khor_32 nas_38 
K12D0841(1-8)_H0805:297b-1	dgongs te 'di skad bstan pa'i lung //	dgongs_0 te_7 'di_10 skad_14 ston_19 ba_25 lung_30 
K12D0841(1-8)_H0805:297b-2	bshad cing 'grol ba'i dus gcig dang //	'chad_0 cing_6 'grol_11 ba_17 dus_22 gcig_26 dang_31 
K12D0841(1-8)_H0805:297b-3	'di skad bstan pa'i dus gcig na //	'di_0 skad_4 ston_9 ba_15 dus_20 gcig_24 na_29 
K12D0841(1-8)_H0805:297b-4	srid gsum ye nas bdud rtsi lnga //	srid_0 gsum_5 ye_10 nas_13 bdud_17 rtsi_22 lnga_27 
K12D0841(1-8)_H0805:297b-5	ma bcos ye nas rdzogs sangs rgyas //	ma_0 'chos_3 ye_8 nas_11 rdzogs_15 sangs_22 rgya_28 
K12D0841(1-8)_H0805:297b-6	kun tu bzang po'i thugs dkyil nas //	kun_0 tu_4 bzang_7 po_13 thugs_18 dkyil_24 nas_30 
K12D0841(1-8)_H0805:297b-7	dus gsum srid gsum sku gsung thugs //	dus_0 gsum_4 srid_9 gsum_14 sku_19 gsung_23 thugs_29 
K12D0841(1-8)_H0805:297b-8	ye nas bdud rtsi yin pa'i phyir //	ye_0 nas_3 bdud_7 rtsi_12 yin_17 ba_21 phyir_26 
K12D0841(1-8)_H0805:297b-9	nges pa'i klong nas bka' stsal pa //	nges_0 ba_5 klong_10 nas_16 bka'_20 stsal_25 ba_31 
K12D0841(1-8)_H0805:297b-10	zab mo'i klong nas phyung ste bstan //	zab_0 mo_4 klong_9 nas_15 'byin_19 ste_26 ston_30 
K12D0841(1-8)_H0805:297b-11	de nas bde gshegs thams cad dang //	de_0 nas_3 bde_7 gshegs_11 thams_18 cad_24 dang_28 
K12D0841(1-8)_H0805:297b-12	thabs cig bzhugs te dgongs pa ni //	thabs_0 cig_6 bzhugs_10 te_17 dgongs_20 ba_27 ni_30 
K12D0841(1-8)_H0805:297b-13	bla na med pa'i byang chub tu //	bla_0 na_4 med_7 ba_11 byang_16 chub_22 tu_27 
K12D0841(1-8)_H0805:297b-14	ye shes mnyam nyid nyams rnyed nas //	ye_0 shes_3 mnyam_8 nyid_14 nyams_19 rnyed_25 nas_31 
K12D0841(1-8)_H0805:297b-15	rdo rje gsang ba'i gral bkod de //	rdo_0 rje_4 gsang_8 ba_14 gral_19 bkod_24 de_29 
K12D0841(1-8)_H0805:297b-16	kun gyi dam par 'di gsungs so //	kun_0 gyi_4 dam_8 ba_12 'di_16 gsungs_20 so_27 
K12D0841(1-8)_H0805:297b-17	bka' yi dam pa mchog gi lung //	bka'_0 yi_5 dam_8 ba_12 mchog_15 gi_21 lung_24 
K12D0841(1-8)_H0805:297b-18	nges par phyung ste gsungs pa 'di'o //	nges_0 ba_5 'byin_9 ste_16 gsungs_20 ba_27 'di_30 
K12D0841(1-8)_H0805:297b-19	sgrub dang bsgrub par bya ba dang //	sgrub_0 dang_6 sgrub_11 ba_18 byed_22 ba_26 dang_29 
K12D0841(1-8)_H0805:297b-20	'bras bu thob par bya ba'i phyir //	'bras_0 bu_6 'thob_9 ba_14 byed_18 ba_22 phyir_27 
K12D0841(1-8)_H0805:297b-21	gsang sngags gsang ba'i man ngag 'di //	gsang_0 sngags_6 gsang_13 ba_19 man_24 ngag_28 'di_33 
K12D0841(1-8)_H0805:297b-22	bdud rtsi dam pa mchog gi lung //	bdud_0 rtsi_5 dam_10 ba_14 mchog_17 gi_23 lung_26 
K12D0841(1-8)_H0805:297b-23	snying por bsdus pa'i nges par 'di //	snying_0 por_7 sdud_11 ba_17 nges_22 ba_27 'di_31 
K12D0841(1-8)_H0805:297b-24	byang chub 'byung ba snying po mchog /	byang_0 chub_6 'byung_11 ba_18 snying_21 po_28 mchog_31 
K12D0841(1-8)_H0805:297b-25	lta ba dang ni spyod pa dang //	lta_0 ba_4 dang_7 ni_12 spyod_15 ba_21 dang_24 
K12D0841(1-8)_H0805:297b-26	dam tshig sgrub pa 'phrin las dang //	dam_0 tshig_4 sgrub_10 ba_16 'phrin_19 las_26 dang_30 
K12D0841(1-8)_H0805:297b-27	nges par sgrub dang bsgrub bya'i phyir //	nges_0 ba_5 sgrub_9 dang_15 sgrub_20 byed_27 phyir_33 
K12D0841(1-8)_H0805:297b-28	zab mo bsdus pa'i lung 'di gsungs //	zab_0 mo_4 sdud_7 ba_13 lung_18 'di_23 gsungs_27 
K12D0841(1-8)_H0805:297b-29	bsam gyis mi khyab bstan pa dang //	bsam_0 gyis_5 mi_10 khyab_13 ston_19 ba_25 dang_28 
K12D0841(1-8)_H0805:298a-0	brgyad khri bzhi @298a *//	brgyad_0 khri_7 bzhi_12 
K12D0841(1-8)_H0805:298a-1	stong rnam grangs kyang //	stong_0 rnam_6 grangs_11 kyang_18 
K12D0841(1-8)_H0805:298a-2	theg pa'i sgo ni gsum du gsungs //	theg_0 ba_5 sgo_10 ni_14 gsum_17 du_22 gsungs_25 
