K12D539A(100b7-101a5)=D0866_H0724:129b-0	@129b dkon mchog gsum la phyag 'tshal lo //	dkon(d)_6 mchog_11 gsum_17 la_22 phyag_25 'tshal_31 lo_38 
K12D539A(100b7-101a5)=D0866_H0724:129b-1	de de bzhin gshegs pa dgra bcom pa yang dag	de_0 de_3 bzhin_6 gshegs_12 ba_19 dgra_22 'joms_27 ba_32 yang_35 'dag_40 
K12D539A(100b7-101a5)=D0866_H0724:129b-2	par rdzogs pa'i sangs rgyas padma'i spyan la phyag 'tshal	ba_0 rdzogs_4 ba_11 sangs_16 rgya_22 padma_28 spyan_36 la_42 phyag_45 'tshal_51 
K12D539A(100b7-101a5)=D0866_H0724:129b-3	lo // byang chub sems dpa' sems dpa' chen po	lo_0 byang_6 chub_12 sems_17 dpa'_22 sems_27 dpa'_32 chen_37 po_42 
K12D539A(100b7-101a5)=D0866_H0724:129b-4	sgrib pa thams cad rnam par sel ba la phyag	sgrib_0 ba_6 thams_9 cad_15 rnam_19 ba_24 sel_28 ba_32 la_35 phyag_38 
K12D539A(100b7-101a5)=D0866_H0724:129b-5	lo // 'tshal lo // tadya th'a /	lo_0 'tshal_6 lo_13 tadya_19 th_25 
K12D539A(100b7-101a5)=D0866_H0724:129b-6	aom ta ra ta ra /	aom_0 ta_4 ra_7 ta_10 ra_13 
K12D539A(100b7-101a5)=D0866_H0724:129b-7	ti ri ti ri /	ti_0 ri_3 ti_6 ri_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-8	tu ru tu ru /	tu_0 ru_3 tu_6 ru_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-9	ka la ka la /	ka_0 la_3 ka_6 la_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-10	ki li ki li /	ki_0 li_3 ki_6 li_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-11	ku lu ku lu /	ku_0 lu_3 ku_6 lu_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-12	bha ra bha ra /	bha_0 ra_4 bha_7 ra_11 
K12D539A(100b7-101a5)=D0866_H0724:129b-13	bhi ri bhi ri /	bhi_0 ri_4 bhi_7 ri_11 
K12D539A(100b7-101a5)=D0866_H0724:129b-14	bhu ru bhu ru /	bhu_0 ru_4 bhu_7 ru_11 
K12D539A(100b7-101a5)=D0866_H0724:129b-15	bha ya bha ya /	bha_0 ya_4 bha_7 ya_11 
K12D539A(100b7-101a5)=D0866_H0724:129b-16	ku ru ku ru /	ku_0 ru_3 ku_6 ru_9 
K12D539A(100b7-101a5)=D0866_H0724:129b-17	sarba karma a'a ba ra na dza ni me sha pra bha ya sv'ah'a /	sarba_0 karma_6 a_12 ba_16 ra_19 na_22 dza_25 ni_29 me_32 sha_35 pra_39 bha_43 ya_47 sv'a_50 
K12D539A(100b7-101a5)=D0866_H0724:129b-18	dzva la ne bi dha ni bee sv'ah'a /	dzva_0 la_5 ne_8 bi_11 dha_14 ni_18 bee_21 sv'a_25 
K12D539A(100b7-101a5)=D0866_H0724:129b-19	ku ru panytsa li sv'ah'a /	ku_0 ru_3 panytsa_6 li_14 sv'a_17 
K12D539A(100b7-101a5)=D0866_H0724:129b-20	s'a ga ra sam bi re sv'ah'a /	s_0 ga_4 ra_7 sam_10 bi_14 re_17 sv'a_20 
K12D539A(100b7-101a5)=D0866_H0724:129b-21	sarba ta th'a ga ta aa dhishthi te sv'ah'a /	sarba_0 ta_6 th_9 ga_14 ta_17 aa_20 dhishthi_23 te_32 sv'a_35 
K12D539A(100b7-101a5)=D0866_H0724:129b-22	gzungs 'di'i cho ga ni 'di yin te /	gzungs_0 'di_7 cho_13 ga_17 ni_20 'di_23 yin_27 te_31 
K12D539A(100b7-101a5)=D0866_H0724:129b-23	nang par langs nas lan brgya rtsa brgyad bzlas brjod	nang_0 ba_5 ldang_9 nas_15 lan_19 brgya_23 rtsa_29 brgyad_34 bzlas_41 rjod_47 
K12D539A(100b7-101a5)=D0866_H0724:129b-24	byas na zhag nyi shu rtsa gcig lon pa'i tshe	byed_0 na_5 zhag_8 nyi_13 shu_17 rtsa_21 gcig_26 lon_31 ba_35 tshe_40 
K12D539A(100b7-101a5)=D0866_H0724:129b-25	las kyi sgrib pa thams cad zad par 'gyur ro	las_0 kyi_4 sgrib_8 ba_14 thams_17 cad_23 zad_27 ba_31 'gyur_35 ro_41 
K12D539A(100b7-101a5)=D0866_H0724:129b-26	/ spyan lnga'ang rnam par dag par 'gyur ro //	spyan_2 lnga_8 rnam_17 ba_22 'dag_26 ba_30 'gyur_34 ro_40 
K12D539A(100b7-101a5)=D0866_H0724:129b-27	de la mig nad 'byung bar mi 'gyur ro //	de_0 la_3 mig_6 nad_10 'byung_14 ba_21 mi_25 'gyur_28 ro_34 
K12D539A(100b7-101a5)=D0866_H0724:129b-28	lus la nad 'byung bar mi 'gyur ro //	lus_0 la_4 nad_7 'byung_11 ba_18 mi_22 'gyur_25 ro_31 
