K12Dx_H0555:291b-0	@291b rgya gar skar du /	rgya_6 gar_11 skar_15 du_20 
K12Dx_H0555:291b-1	kro dha bhur kum k'u ta r'a dza sto tra mantra /	kro_0 dha_4 bhur_8 kum_13 k_17 ta_21 r_24 dza_28 sto_32 tra_36 mantra_40 
K12Dx_H0555:291b-2	bod skad du /	'bod_0 skad_4 du_9 
K12Dx_H0555:291b-3	khro bo'i rgyal po sme brtsegs la bstod pa'i sngags /	khro_0 'bo_5 rgyal_10 po_16 sme_19 brtsegs_23 la_31 bstod_34 ba_40 sngags_45 
K12Dx_H0555:291b-4	dkon mchog gsum la phyag 'tshal lo //	dkon(d)_0 mchog_5 gsum_11 la_16 phyag_19 'tshal_25 lo_32 
K12Dx_H0555:291b-5	aom bhur kum ma h'a pr'a n'a ya /	aom_0 bhur_4 kum_9 ma_13 h_16 pr_20 n_25 ya_29 
K12Dx_H0555:291b-6	bhur tsi bhur ki ma n'a se /	bhur_0 tsi_5 bhur_9 ki_14 ma_17 n_20 se_24 
K12Dx_H0555:291b-7	au tsu sma kro dha h'um h'um phat phat sv'a h'a /	au_0 tsu_3 sma_7 kro_11 dha_15 h_19 h_24 phat_29 phat_34 sv_39 h_44 
K12Dx_H0555:291b-8	phyag 'tshal phyag 'tshal phyag 'tshal bstod //	phyag_0 'tshal_6 phyag_13 'tshal_19 phyag_26 'tshal_32 bstod_39 
K12Dx_H0555:291b-9	khro la khros pas khro bo che //	khro_0 la_5 khro_8 ba_14 khro_18 'bo_23 che_26 
K12Dx_H0555:291b-10	sangs rgyas sangs rgyas sngar sangs rgyas //	sangs_0 rgya_6 sangs_12 rgya_18 sngar_24 sangs_30 rgya_36 
K12Dx_H0555:291b-11	chos sku longs sku sprul pa'i sku //	chos_0 sku_5 longs_9 sku_15 sprul_19 ba_25 sku_30 
K12Dx_H0555:291b-12	sme brtsegs zhes bya bdag phyag 'tshal //	sme_0 brtsegs_4 zhes_12 byed_17 bdag_21 phyag_26 'tshal_32 
K12Dx_H0555:291b-13	bskal pa'i me ltar 'bar dbus na //	bskal_0 ba_6 me_11 ltar_14 'bar_19 dbus_24 na_29 
K12Dx_H0555:291b-14	pad ma nyi zla'i gdan la bzhugs //	pad_0 ma_4 nyi_7 zla_11 gdan_17 la_22 bzhugs_25 
K12Dx_H0555:291b-15	ljang nag chen po sme ba can //	ljang_0 nag_6 chen_10 po_15 sme_18 ba_22 can_25 
K12Dx_H0555:291b-16	zhal gsum pa la phyag drug ste //	zhal_0 gsum_5 ba_10 la_13 phyag_16 drug_22 ste_27 
K12Dx_H0555:291b-17	g-yas dkar g-yon dmar dbus ljang ba //	g-yas_0 dkar_6 g-yon_11 dmar_17 dbus_22 ljang_27 ba_33 
