T02D1709a:69b-0	@69b # // rgya gar skad du /	rgya_10 gar_15 skad_19 du_24 
T02D1709a:69b-1	mandala la aa bhi she ka ta bidhi:/	mandala_0 la_8 aa_11 bhi_14 she_18 ka_22 ta_25 
T02D1709a:69b-2	bod skad du /	'bod_0 skad_4 du_9 
T02D1709a:69b-3	dkyil 'khor du dbang bskur ba'i cho ga / rje btsun sgrol ma la phyag 'tshal lo //	dkyil_0 'khor_6 du_12 dbang_15 skur_21 ba_27 cho_32 ga_36 rje_41 btsun_45 sgrol_51 ma_57 la_60 phyag_63 'tshal_69 lo_76 
T02D1709a:69b-4	'od dpag med la phyag 'tshal lo //	'od_0 dpog_4 med_9 la_13 phyag_16 'tshal_22 lo_29 
T02D1709a:69b-5	rdo rje 'chang gis gang gsungs shing //	rdo_0 rje_4 'chang_8 gis_15 gang_19 gsungs_24 shing_31 
T02D1709a:69b-6	bla ma'i man ngag las 'ongs pa'i //	bla_0 ma_4 man_9 ngag_13 las_18 'ongs_22 ba_28 
T02D1709a:69b-7	dkyil 'khor cho ga bshad par bya //	dkyil_0 'khor_6 cho_12 ga_16 'chad_19 ba_25 byed_29 
T02D1709a:69b-8	bsnyen pa sngon du song ba yis //	snyen_0 ba_7 sngon_10 du_16 'gro_19 ba_24 yis_27 
T02D1709a:69b-9	sa rnams sbyang sogs byas nas ni //	sa_0 rnams_3 sbyong_9 sogs_16 byed_21 nas_26 ni_30 
T02D1709a:69b-10	khro bo chen po bzlas bya zhing //	khro_0 'bo_5 chen_8 po_13 bzlas_16 byed_22 zhing_26 
T02D1709a:69b-11	cho ga shes pas dkyil 'khor bya //	cho_0 ga_4 shes_7 ba_12 dkyil_16 'khor_22 byed_28 
T02D1709a:69b-12	rab tu drag pa'i gsang sngags dang //	rab_0 tu_4 drag_7 ba_12 gsang_17 sngags_23 dang_30 
T02D1709a:69b-13	go cha srad bu 'khor lo dang //	go_0 cha_3 srad_7 bu_12 'khor_15 lo_21 dang_24 
T02D1709a:69b-14	dum gcig rdo rje ra ba dang //	dum_0 gcig_4 rdo_9 rje_13 ra_17 ba_20 dang_23 
T02D1709a:69b-15	rab 'bar me dang khro bos srung //	rab_0 'bar_4 me_9 dang_12 khro_17 'bod_22 srung_26 
T02D1709a:69b-16	sa yi lha mo lhag gnas dang //	sa_0 yi_3 lha_6 mo_10 lhag_13 gnas_18 dang_23 
T02D1709a:69b-17	slob dpon khyod ni dgongs su gsol //	slob_0 dpon_5 khyod_10 ni_16 dgongs_19 su_26 gsol_29 
T02D1709a:69b-18	byang chub snying po'i bar du ni //	byang_0 chub_6 snying_11 po_18 ba_23 du_27 ni_30 
T02D1709a:69b-19	bla ma dam par gsol 'dabs kyis //	bla_0 ma_4 dam_7 ba_11 gsol_15 'dabs_20 kyis_26 
T02D1709a:69b-20	bdag gi bla ma mdzad du gsol //	bdag_0 gi_5 bla_8 ma_12 mdzad_15 du_21 gsol_24 
T02D1709a:69b-21	zhes pas mandala dbul ba lan gsum mo //	zhes_0 ba_5 mandala_9 'bul_17 ba_22 lan_25 gsum_29 mo_34 
