T02D1709b:70b-0	@70b // aom t'a re tutt'a re tsa la pra	aom_8 t_12 re_16 tutt_19 re_26 tsa_29 la_33 pra_36 
T02D1709b:70b-1	tsa la sh'i ghram g'a mi ni de ba tatta	tsa_0 la_4 sh_7 ghram_12 g_18 mi_22 ni_25 de_28 ba_31 tatta_34 
T02D1709b:70b-2	autstsha tra ya h'um /	autstsha_0 tra_9 ya_13 h_16 
T02D1709b:70b-3	'di bya rog gi sgros lan sum cu rtsa gcig	'di_0 byed_4 rog_8 gi_12 sgros_15 lan_21 sum_25 cu_29 rtsa_32 gcig_37 
T02D1709b:70b-4	bzlas nas bsgrub bya'i sgo la sbas pas zhag bdun	bzlas_0 nas_6 sgrub_10 byed_17 sgo_23 la_27 sbed_30 ba_35 zhag_39 bdun_44 
T02D1709b:70b-5	gyis skrod par 'gyur ro //	gyis_0 skrod_5 ba_11 'gyur_15 ro_21 
T02D1709b:70b-6	sgrol ma'i gzungs kyis sri na lag la lan bdun bzlas la /	sgrol_0 ma_6 gzungs_11 kyis_18 sri_23 na_27 lag_30 la_34 lan_37 bdun_41 bzlas_46 la_52 
T02D1709b:70b-7	bdag gi mig gnyis phyis te /	bdag_0 gi_5 mig_8 gnyis_12 'byid_18 te_24 
T02D1709b:70b-8	de nas rgyal po'i drung du phyin na rgyal po	de_0 nas_3 rgyal_7 po_13 drung_18 du_24 phyin_27 na_33 rgyal_36 po_42 
T02D1709b:70b-9	de slob ma lta bur 'gyur bas dad pa byed	de_0 slob_3 ma_8 lta_11 bur_15 'gyur_19 ba_25 dad_29 ba_33 byed_36 
T02D1709b:70b-10	pa dang / ngag tu mi smra /	ba_0 dang_3 ngag_10 tu_15 mi_18 smra_21 
T02D1709b:70b-11	sbyin pa ster /	sbyin_0 ba_6 ster_9 
T02D1709b:70b-12	khol ltar 'gyur ro //	'khol_0 ltar_5 'gyur_10 ro_16 
T02D1709b:70b-13	khros kyang dbang du 'gyur ro //	khro_0 kyang_6 dbang_12 du_18 'gyur_21 ro_27 
T02D1709b:70b-14	'di ni yid ches pas ngo mtshar ro //	'di_0 ni_4 yid_7 ches_11 ba_16 ngo_20 mtshar_24 ro_31 
T02D1709b:70b-15	bdag nyid sgrol mar bsgoms te /	bdag_0 nyid_5 sgrol_10 mar_16 sgom_20 te_27 
T02D1709b:70b-16	tsha ba'i mar khus lus byug pa bya /	tsha_0 ba_5 mar_10 khus_14 lus_19 'byug_23 ba_28 byed_31 
T02D1709b:70b-17	sngags khri bzlas /	sngags_0 khri_7 bzlas_12 
T02D1709b:70b-18	bzlas pa'i rjes su 'bras mkhar ma can gyi ma dag pa dri ma bton /	bzlas_0 ba_6 rjes_11 su_16 'bras_19 mkhar_25 ma_31 can_34 gyi_38 ma_42 'dag_45 ba_49 'dri_52 ma_56 'don_59 
T02D1709b:70b-19	de la snum khur byas la bsgrub bya la byin na nges par the tshom med pa'o //	de_0 la_3 snum_6 'khur_11 byed_16 la_21 sgrub_24 byed_31 la_35 byin_38 na_43 nges_46 ba_51 the_55 tshom_59 med_65 ba_69 
T02D1709b:70b-20	gos kyi thu ba nas bzung ste gang du 'gro	gos_0 kyi_4 thu_8 ba_12 nas_15 bzung_19 ste_25 gang_29 du_34 'gro_37 
T02D1709b:70b-21	ba'i phyogs kyi gnod byed bkug la thu bar gtums	ba_0 phyogs_5 kyi_12 gnod_16 byed_21 'gugs_26 la_31 thu_34 ba_38 'thum_42 
T02D1709b:70b-22	te mdud pa byas la sngags 'di lan bdun bsngags	te_0 mdud_3 ba_8 byed_11 la_16 sngags_19 'di_26 lan_30 bdun_34 bsngags_39 
T02D1709b:70b-23	la / 'jigs pa'i sa gang du 'gro yang 'jigs pa mi 'byung ngo //	la_0 'jigs_5 ba_11 sa_16 gang_19 du_24 'gro_27 yang_32 'jigs_37 ba_43 mi_46 'byung_49 ngo_56 
T02D1709b:70b-24	stag dang /	stag_0 dang_5 
