T02D2544a:13b-0	@13b # // rgya gar skad du /	rgya_10 gar_15 skad_19 du_24 
T02D2544a:13b-1	a'arya manydzu shr'i n'a ma s'a dha na /	a_0 manydzu_7 shr_15 n_21 ma_25 s_28 dha_32 na_36 
T02D2544a:13b-2	bod skad du /	'bod_0 skad_4 du_9 
T02D2544a:13b-3	'phags pa 'jam dpal zhes bya ba'i sgrub pa'i thabs /	'phag_0 ba_7 'jam_10 dpal_15 zhes_20 byed_25 ba_29 sgrub_34 ba_40 thabs_45 
T02D2544a:13b-4	'jam pa'i mgon la phyag 'tshal lo //	'jam_0 ba_5 mgon_10 la_15 phyag_18 'tshal_24 lo_31 
T02D2544a:13b-5	thams cad mkhyen cing thugs su chud //	thams_0 cad_6 mkhyen_10 cing_17 thugs_22 su_28 chud_31 
T02D2544a:13b-6	smra ba'i skyes mchog smra ba'i rgyal //	smra_0 ba_5 skye_10 mchog_16 smra_22 ba_27 rgyal_32 
T02D2544a:13b-7	smra ba'i seng ge tshugs pa med //	smra_0 ba_5 seng_10 ge_15 tshugs_18 ba_25 med_28 
T02D2544a:13b-8	rnam kun mkhyen la phyag 'tshal lo //	rnam_0 kun_5 mkhyen_9 la_16 phyag_19 'tshal_25 lo_32 
T02D2544a:14a-0	spyod dang ldan pa @14a * //	spyod_0 dang_6 ldan_11 ba_16 
T02D2544a:14a-1	shes pa po //	shes_0 ba_5 po_8 
T02D2544a:14a-2	'jam pa'i mgon la dga' ba dang //	'jam_0 ba_5 mgon_10 la_15 dga'_18 ba_23 dang_26 
T02D2544a:14a-3	de yi don du sgrub pa'i thabs //	de_0 yi_3 don_6 du_10 sgrub_13 ba_19 thabs_24 
T02D2544a:14a-4	mdo ru bsdus te bshad par bya //	mdo_0 ru_4 sdud_7 te_13 'chad_16 ba_22 byed_26 
T02D2544a:14a-5	rnam par smin pa'i lus dag la //	rnam_0 ba_5 smin_9 ba_14 lus_19 'dag_23 la_27 
