T02D3306=D3402:1b-0	@1b # // rgya gar skad du /	rgya_9 gar_14 skad_18 du_23 
T02D3306=D3402:1b-1	shr'i badzra a'a sa na s'adha nam /	shr_0 badzra_6 a_13 sa_17 na_20 s_23 nam_30 
T02D3306=D3402:1b-2	bod skad du /	'bod_0 skad_4 du_9 
T02D3306=D3402:1b-3	dpal rdo rje gdan gyi sgrub thabs /	dpal_0 rdo_5 rje_9 gdan_13 gyi_18 sgrub_22 thabs_28 
T02D3306=D3402:1b-4	dpal rdo rje gdan la phyag 'tshal lo //	dpal_0 rdo_5 rje_9 gdan_13 la_18 phyag_21 'tshal_27 lo_34 
T02D3306=D3402:1b-5	yon tan tshogs kyi gzhir gyur gzhan [dd] don bla	yon_0 tan_4 tshogs_8 kyi_15 gzhir_19 gyur_25 gzhan_30 [dd]_36 don_41 bla_45 
T02D3306=D3402:1b-6	ma de bzhin gshegs pa kun la phyag 'tshal lo	ma_0 de_3 bzhin_6 gshegs_12 ba_19 kun_22 la_26 phyag_29 'tshal_35 lo_42 
T02D3306=D3402:1b-7	// dpal ldan rdo rje gdan zhes phun sum tshogs	dpal_3 ldan_8 rdo_13 rje_17 gdan_21 zhes_26 phun_31 sum_36 tshogs_40 
T02D3306=D3402:1b-8	min 'joms shing 'khor ba'i skyon gyis ma gos pa	min_0 'joms_4 shing_10 'khor_16 ba_22 skyon_27 gyis_33 ma_38 gos_41 ba_45 
T02D3306=D3402:1b-9	// // gang zhig dul zhing zhi ba mchog gi	gang_6 'jig_11 dul_16 zhing_20 zhi_26 ba_30 mchog_33 gi_39 
T02D3306=D3402:1b-10	sangs rgyas nyid kyi de nyid sgrub pa'i thabs gyur	sangs_0 rgya_6 nyid_12 kyi_17 de_21 nyid_24 sgrub_29 ba_35 thabs_40 gyur_46 
T02D3306=D3402:1b-11	// // pa // sna tshogs kha dog gis spras	ba_6 sna_12 tshogs_16 kha_23 dog_27 gis_31 spras_35 
