T07D4093-1:1b-0	@1b # // rgya gar skad du /	rgya_9 gar_14 skad_18 du_23 
T07D4093-1:1b-1	aa bhi dharma ko sha t'i ka laksha na sya nu sa ri n'a ma /	aa_0 bhi_3 dharma_7 ko_14 sha_17 t_21 ka_25 laksha_28 na_35 sya_38 nu_42 sa_45 ri_48 n_51 ma_55 
T07D4093-1:1b-2	bod skad du /	'bod_0 skad_4 du_9 
T07D4093-1:1b-3	chos mngon pa'i mdzod kyi 'grel bshad mtshan nyid kyi rjes su 'brang ba zhes bya ba /	chos_0 mngon_5 ba_11 mdzod_16 kyi_22 'grel_26 'chad_32 mtshan_38 nyid_45 kyi_50 rjes_54 su_59 'brang_62 ba_69 zhes_72 byed_77 ba_81 
T07D4093-1:1b-4	'phags [dd] pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	'phag_0 [dd]_7 ba_12 'jam_15 dpal_20 gzhon_25 nur_31 gyur_35 ba_40 la_43 phyag_46 'tshal_52 lo_59 
T07D4093-1:1b-5	gang zhig rang nyid thugs kyi mun pa zhes bya ma lus yul can rgyud kun zhi //	gang_0 'jig_5 rang_10 nyid_15 thugs_20 kyi_26 mun_30 ba_34 zhes_37 byed_42 ma_46 lus_49 yul_53 can_57 brgyud_61 kun_67 zhi_71 
T07D4093-1:1b-6	nyon mongs can dang nyon mongs can min mtha' yas mkhyen rab gzeng mthos mthar bskyal zhing //	nyon_0 mongs_5 can_11 dang_15 nyon_20 mongs_25 can_31 min_35 mtha'_39 yas_45 mkhyen_49 rab_56 gzeng_60 mthos_66 mthar_72 skyel_78 zhing_85 
T07D4093-1:1b-7	thugs rjes yongs su khyab pa'i thugs mnga' chos 'chad pa yi phyag brkyang tshul dag gis //	thugs_0 rjes_6 yongs_11 su_17 khyab_20 ba_26 thugs_31 mnga'_37 chos_43 'chad_48 ba_54 yi_57 phyag_60 rkyong_66 tshul_74 'dag_80 gis_84 
T07D4093-1:1b-8	'khor ba'i 'dam las 'gro ba drangs mdzad de la dang por rab tu phyag 'tshal te //	'khor_0 ba_6 'dam_11 las_16 'gro_20 ba_25 drangs_28 mdzad_35 de_41 la_44 dang_47 por_52 rab_56 tu_60 phyag_63 'tshal_69 te_76 
T07D4093-1:1b-9	nyid kyi don legs thugs chud cing //	nyid_0 kyi_5 don_9 legs_13 thugs_18 chud_24 cing_29 
T07D4093-1:1b-10	grol ba'i thugs mnga' thub pa yis //	grol_0 ba_5 thugs_10 mnga'_16 thub_22 ba_27 yis_30 
T07D4093-1:1b-11	chos mngon gang zhig bshad gyur pa //	chos_0 mngon_5 gang_11 'jig_16 'chad_21 gyur_27 ba_32 
T07D4093-1:1b-12	de nyid rab tu spro bar bya //	de_0 nyid_3 rab_8 tu_12 spro_15 ba_20 byed_24 
