T08D4141:156b-0	@156b # // rgya gar skad du /	rgya_11 gar_16 skad_20 du_25 
T08D4141:156b-1	au pa si ka sam ba r'ashta ka / bod skad du /	au_0 ba_3 si_6 ka_9 sam_12 ba_16 r_19 ka_27 'bod_32 skad_36 du_41 
T08D4141:156b-2	dge bsnyen gyi sdom pa brgyad pa /	dge_0 snyen_4 gyi_11 sdom_15 ba_20 brgyad_23 ba_30 
T08D4141:156b-3	sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	sangs_0 rgya_6 dang_12 byang_17 chub_23 sems_28 dpa'_33 thams_38 cad_44 la_48 phyag_51 'tshal_57 lo_64 
T08D4141:156b-4	sdom gnas bla ma mkhas pa las //	sdom_0 gnas_5 bla_10 ma_14 mkhas_17 ba_23 las_26 
T08D4141:156b-5	gsum la skyabs 'gro blangs nas ni //	gsum_0 la_5 skyob_8 'gro_15 blangs_20 nas_27 ni_31 
T08D4141:156b-6	ji srid 'tsho bar gsod dang 'phrog / log par	ji_0 srid_3 'tsho_8 ba_14 gsod_18 dang_23 'phrog_28 log_37 ba_41 
T08D4141:156b-7	spyod dang brdzun gyi tshig / chang gi btung ba	spyod_0 dang_6 brdzun_11 gyi_18 tshig_22 chang_30 gi_36 'thung_39 ba_45 
T08D4141:156b-8	dag las ldog / yan lag tshang ba cho ga	'dag_0 las_4 ldog_8 yan_15 lag_19 tshang_23 ba_30 cho_33 ga_37 
T08D4141:156b-9	bzhin // brdzun gyi tshig las ldog pa yis //	bzhin_0 brdzun_9 gyi_16 tshig_20 las_26 ldog_30 ba_35 yis_38 
T08D4141:156b-10	de yi skyon ni gzhan las kyang //	de_0 yi_3 skyon_6 ni_12 gzhan_15 las_21 kyang_25 
T08D4141:156b-11	ldog bar bya ste ldog bshad pa //	ldog_0 ba_5 byed_9 ste_13 ldog_17 'chad_22 ba_28 
T08D4141:156b-12	de yang shin tu smad pa'i phyir //	de_0 yang_3 shin_8 tu_13 smad_16 ba_21 phyir_26 
T08D4141:156b-13	gang phyir lus ngag mi dge las //	gang_0 phyir_5 lus_11 ngag_15 mi_20 dge_23 las_27 
T08D4141:156b-14	ldog pa yid kyi dge ba las //	ldog_0 ba_5 yid_8 kyi_12 dge_16 ba_20 las_23 
T08D4141:156b-15	de phyir brnab sems gnod pa'i sems //	de_0 phyir_3 rnab_9 sems_15 gnod_20 ba_25 sems_30 
T08D4141:156b-16	lta las ldog rnams grub pa yin //	lta_0 las_4 ldog_8 rnams_13 'grub_19 ba_24 yin_27 
T08D4141:156b-17	yan lag lnga yi sdom bshad nyid //	yan_0 lag_4 lnga_8 yi_13 sdom_16 'chad_21 nyid_27 
T08D4141:156b-18	gzhug pa ru ni 'dod pas so //	'jug_0 ba_6 ru_9 ni_12 'dod_15 ba_20 so_24 
T08D4141:156b-19	mi gsod pa dang dngos po rku //	mi_0 gsod_3 ba_8 dang_11 dngos_16 po_22 rku_25 
T08D4141:156b-20	yongs su rdzogs dang gzhan bud med //	yongs_0 su_6 rdzogs_9 dang_16 gzhan_21 'bud_27 med_31 
T08D4141:157a-0	bdag gir byed dang @157a * //	bdag_0 gir_5 byed_9 dang_14 
T08D4141:157a-1	brdzun tshig smra //	brdzun_0 tshig_7 smra_13 
T08D4141:157a-2	sdom pa nyams pa'i rgyu rnams so //	sdom_0 ba_5 nyams_8 ba_14 rgyu_19 rnams_24 so_30 
T08D4141:157a-3	sdom pa slar yang blang bar bya //	sdom_0 ba_5 slar_8 yang_13 blang_18 ba_24 byed_28 
