T13D4311-1:335b-0	@335b * // rgya gar skad du //	rgya_11 gar_16 skad_20 du_25 
T13D4311-1:335b-1	aasht'ang+ga hri da ya n'a ma beed'urya ka bha shdya ma /	aasht_0 ga_10 hri_13 da_17 ya_20 n_23 ma_27 beed_30 ka_40 bha_43 shdya_47 ma_53 
T13D4311-1:335b-2	bod skad du /	'bod_0 skad_4 du_9 
T13D4311-1:335b-3	yan lag brgyad pa'i snying po zhes bya ba'i sman dpyad kyi bshad pa /	yan_0 lag_4 brgyad_8 ba_15 snying_20 po_27 zhes_30 byed_35 ba_39 sman_44 dpyod_49 kyi_55 'chad_59 ba_65 
T13D4311-1:335b-4	thams cad mkhyen pa la phyag 'tshal lo //	thams_0 cad_6 mkhyen_10 ba_17 la_20 phyag_23 'tshal_29 lo_36 
T13D4311-1:335b-5	bcom ldan 'das de bzhin gshegs pa dgra bcom pa	'joms_0 ldan_5 'da'_10 de_15 bzhin_18 gshegs_24 ba_31 dgra_34 'joms_39 ba_44 
T13D4311-1:335b-6	yang dag par rdzogs pa'i sangs rgyas sman gyi bla	yang_0 'dag_5 ba_9 rdzogs_13 ba_20 sangs_25 rgya_31 sman_37 gyi_42 bla_46 
T13D4311-1:335b-7	beed'urya 'od kyi rgyal po la phyag 'tshal lo //	beed_0 'od_10 kyi_14 rgyal_18 po_24 la_27 phyag_30 'tshal_36 lo_43 
T13D4311-1:335b-8	'dod chags la sogs ma lus pa yi nad //	'dod_0 chags_5 la_11 sogs_14 ma_19 lus_22 ba_26 yi_29 nad_32 
T13D4311-1:335b-9	rgyun du 'brel pas lus la kun tu khyab //	rgyun_0 du_6 'brel_9 ba_15 lus_19 la_23 kun_26 tu_30 khyab_33 
T13D4311-1:335b-10	'dod dang gti mug khro ba sel ba yi //	'dod_0 dang_5 gti_10 mug_14 khro_18 ba_23 sel_26 ba_30 yi_33 
T13D4311-1:335b-11	sman pa sngon med de la phyag 'tshal lo //	sman_0 ba_5 sngon_8 med_14 de_18 la_21 phyag_24 'tshal_30 lo_37 
T13D4311-1:335b-12	sngon gyi drang srong rgyun shes kyi bu la sogs pas bshad pa //	sngon_0 gyi_6 'dren_10 srong_16 rgyun_22 shes_28 kyi_33 bu_37 la_40 sogs_43 ba_48 'chad_52 ba_58 
T13D4311-1:335b-13	tshe ring ldan par 'dod pa na //	tshe_0 ring_5 ldan_10 ba_15 'dod_19 ba_24 na_27 
