T16D4433:149b-0	@149b * // 'jam dpal gyi by'a ka ra na'i rtsa ba bzhugs//	'jam_11 dpal_16 gyi_21 by_25 ka_30 ra_33 na_36 rtsa_41 ba_46 
T16D4433:149b-2	# // rgya gar skad du /	rgya_5 gar_10 skad_14 du_19 
T16D4433:149b-3	manydzu shr'i shapda laksha nam /	manydzu_0 shr_8 shapda_14 laksha_21 nam_28 
T16D4433:149b-4	bod skad du /	'bod_0 skad_4 du_9 
T16D4433:149b-5	'jam dpal gyi sgra'i mtshan nyid /	'jam_0 dpal_5 gyi_10 sgra_14 mtshan_21 nyid_28 
T16D4433:149b-6	gsung gi dbang phyug la phyag 'tshal lo //	gsung_0 gi_6 dbang_9 phyug_15 la_21 phyag_24 'tshal_30 lo_37 
T16D4433:149b-7	aa ai aun /	aa_0 ai_3 aun_6 
T16D4433:149b-8	ri lika //	ri_0 lika_3 
T16D4433:149b-9	ae aong /	ae_0 aong_3 
T16D4433:149b-10	aee aoots\/	aee_0 
T16D4433:149b-11	ha ya ba ra lan /	ha_0 ya_3 ba_6 ra_9 lan_12 
T16D4433:149b-12	nya ma nga na nam\/	nya_0 ma_4 nga_7 na_11 
T16D4433:149b-13	dzha bhanya\/	dzha_0 
T16D4433:149b-14	gha dha dha sha /	gha_0 dha_4 dha_8 sha_12 
T16D4433:149b-15	dza ba ga da dasha /	dza_0 ba_4 ga_7 da_10 dasha_13 
T16D4433:149b-16	kha pha tsha tha tha /	kha_0 pha_4 tsha_8 tha_13 tha_17 
T16D4433:149b-17	tsa ta tab\/	tsa_0 ta_4 
T16D4433:149b-18	ka pa ya\/	ka_0 ba_3 
T16D4433:149b-19	sha sha sa ra /	sha_0 sha_4 sa_8 ra_11 
T16D4433:149b-21	hal\/ sangs rgyas dang ni 'jam dbyangs dang //	sangs_6 rgya_12 dang_18 ni_23 'jam_26 dbyangs_31 dang_39 
T16D4433:149b-22	'jig rten mgon po skyob pa la //	'jig_0 rten_5 mgon_10 po_15 skyob_18 ba_24 la_27 
T16D4433:149b-23	phyag 'tshal nas ni yang dag par //	phyag_0 'tshal_6 nas_13 ni_17 yang_20 'dag_25 ba_29 
T16D4433:149b-24	'jam dpal sgra yi mtshan nyid bya //	'jam_0 dpal_5 sgra_10 yi_15 mtshan_18 nyid_25 byed_30 
T16D4433:149b-25	dang po dang aita kyi bar yang so sor bsdu'o //	dang_0 po_5 dang_8 aita_13 kyi_18 ba_22 yang_26 so_31 sor_34 sdud_38 
T16D4433:149b-26	aaka ni 'dra ba'i yi ge'o //	aaka_0 ni_5 'dra_8 ba_13 yi_18 ge_21 
T16D4433:149b-27	aatsa rnams kyi cho ga'o //	aatsa_0 rnams_6 kyi_12 cho_16 ga_20 
T16D4433:149b-28	auta kyi tshogs so //	auta_0 kyi_5 tshogs_9 so_16 
