I1PD96800.txt.w:0-0	@#// bod kyi nang bstan dpe tshogs lte gnas //	'bod_5 kyi_9 nang_13 ston_18 dpe_24 tshogs_28 lte_35 gnas_39 
I1PD96800.txt.w:0-1	[tibetan buddhist resource center]	[tibetan_0 buddhist_9 resource_18 center]_27 
I1PD96800.txt.w:0-2	[text scan input form - title page]	[text_0 scan_6 input_11 form_17 title_24 page]_30 
I1PD96800.txt.w:0-3	[work:w1pd96682imagegroup:11 pd96800]	[work:w1pd96682imagegroup:11_0 pd96800]_29 
I1PD96800.txt.w:0-4	[lccn:n / aisbn:7800576949]	[lccn:n_0 aisbn:7800576949]_10 
I1PD96800.txt.w:0-5	[title:]	[title:]_0 
I1PD96800.txt.w:0-6	bka' 'gyur	bka'_0 'gyur_5 
I1PD96800.txt.w:0-7	[bka''gyur]	[bka''gyur]_0 
I1PD96800.txt.w:0-8	[author:]	[author:]_0 
I1PD96800.txt.w:0-9	[n / a]	[n_0 a]_5 
I1PD96800.txt.w:0-10	[n / adescriptor:]	[n_0 adescriptor:]_5 
I1PD96800.txt.w:0-11	[original publication:in / a/n / a]	[original_0 publication:in_10 a]_33 
I1PD96800.txt.w:0-13	[?????????] [place:]	[place:]_12 
I1PD96800.txt.w:0-14	[publisher:???????????? ???????]	[publisher:????????????_0 
I1PD96800.txt.w:0-15	[date:2006-2009]	[date:2006-2009]_0 
I1PD96800.txt.w:0-16	[volume:17]	[volume:17]_0 
I1PD96800.txt.w:0-17	[total volumes:108]	[total_0 volumes:108]_7 
I1PD96800.txt.w:0-18	[tbrc pages:2]	[tbrc_0 pages:2]_6 
I1PD96800.txt.w:0-19	[introductory pages:n / a]	[introductory_0 pages:n_14 a]_24 
I1PD96800.txt.w:0-20	[text pages:n / a]	[text_0 pages:n_6 a]_16 
I1PD96800.txt.w:0-21	[scanning information:]	[scanning_0 information:]_10 
I1PD96800.txt.w:0-22	[scanned at tibetan buddhist resource center/ 150 west 17th st/ new york city/ ny]	[scanned_0 at_9 tibetan_12 buddhist_20 resource_29 west_50 17th_55 new_64 york_68 ny]_79 
I1PD96800.txt.w:0-23	[10011/ us. comments: 2010]	us._8 comments:_12 
I1PD96800.txt.w:0-24	bka' 'gyur	bka'_0 'gyur_5 
I1PD96800.txt.w:0-25	2_bum /	2_bum_0 
I1PD96800.txt.w:0-26	tshang /	tshang_0 
I1PD96800.txt.w:0-27	@#/_bka' 'gyur	'gyur_9 
I1PD96800.txt.w:0-29	[( ]17[)] krung go'i bod rig pa zhib 'jug lte gnas kyi	krung_10 go_16 'bod_21 rig_25 ba_29 zhib_32 'jug_37 lte_42 gnas_46 kyi_51 
I1PD96800.txt.w:0-30	bka' bstan dpe sdur khang gis dpe bsdur zhus /	bka'_0 ston_5 dpe_11 sdur_15 khang_20 gis_26 dpe_30 sdur_34 zhus_40 
I1PD96800.txt.w:0-31	krung go'i bod rig pa dpe skrun khang /	krung_0 go_6 'bod_11 rig_15 ba_19 dpe_22 skrun_26 khang_32 
I1PD96800.txt.w:6-0	6 [2.] @#/_/ rnam 'dren bzhi pa shakya'i tog	rnam_13 bgrang_18 bzhi_24 ba_29 shakya_32 tog_41 
I1PD96800.txt.w:6-4	[青青] [青] 1 deb bcu bdun pa'i dkar chag[*]	deb_11 'chu_15 bdun_19 ba_24 dkar_29 chag[*]_34 
I1PD96800.txt.w:6-5	'bum / nga)[(]17[)]	'bum_0 nga)[(]17[)]_7 
I1PD96800.txt.w:6-8	[• ]3 [........] [•• ]30025_shes rab kyi pha rol tu phyin pa stong phrag brgya pa /	]30025_shes_21 rab_33 kyi_37 pha_41 rol_45 tu_49 phyin_52 ba_58 stong_61 phrag_67 brgya_73 ba_79 
I1PD96800.txt.w:6-9	bcu gnyis pa /_zil gyis gnon pa'i le'u /[(]smad[)]	'chu_0 gnyis_4 ba_10 gyis_19 gnon_24 ba_29 le_34 
I1PD96800.txt.w:6-10	bcu gsum pa /_gnyis su med pa'i le'u /	'chu_0 gsum_4 ba_9 su_20 med_23 ba_27 le_32 
I1PD96800.txt.w:6-11	bcu bzhi pa /_rab 'byor gyi le'u /	'chu_0 bzhi_4 ba_9 'byor_18 gyi_24 le_28 
I1PD96800.txt.w:6-12	bco lnga pa /_brgya byin gyi le'u /[(]stod[)]388	'chos_0 lnga_4 ba_9 byin_20 gyi_25 le_29 
I1PD96800.txt.w:6-15	633 80_7 bsdur mchan /[(]846[) ]bsdur 'bras re'u mig[( ]874[ )]	sdur_9 mchan_15 ]bsdur_31 'bras_38 re_44 mig[(_49 
I1PD96800.txt.w:6-16	[* ]dkar chag gi zur mchan /_chos tshan [(]0025[）]pa'i le'u'i mtshan mi gsal ba rnams bstan 'gyur dpe bsdur	]dkar_3 'chag_9 gi_14 zur_17 mchan_21 tshan_34 [(]0025[）]pa_40 le'i_55 mtshan_62 mi_69 gsal_72 ba_77 rnams_80 ston_86 'gyur_92 dpe_98 sdur_102 
I1PD96800.txt.w:6-17	ma'i deb nga gsum pa'i chos tshan [(]3027[) ]pa gzhir gzung ste bsgrigs shing /_ma yig tu le'u bcu gsum pa rab 'byor	ma_0 deb_5 nga_9 gsum_13 ba_18 chos_23 tshan_28 ]pa_44 gzhir_48 gzung_54 ste_60 sgrig_64 shing_72 yig_83 tu_87 le_90 'chu_95 gsum_99 ba_104 rab_107 'byor_111 
I1PD96800.txt.w:6-18	gyi le'ur byas yod na yang /_'dir rgya 'grel gnyis dang bstun nas bcu gsum pa gnyis su med pa'i le'u dang bcu bzhi	gyi_0 le_4 byed_10 yod_15 na_19 yang_22 rgya_34 'grel_39 gnyis_45 dang_51 bstun_56 nas_62 'chu_66 gsum_70 ba_75 gnyis_78 su_84 med_87 ba_91 le_96 dang_101 'chu_106 bzhi_110 
I1PD96800.txt.w:6-19	pa rab 'byor gyi le'ur byas te bsgrigs yod /	ba_0 rab_3 'byor_7 gyi_13 le_17 byed_23 te_28 sgrig_31 yod_39 
I1PD96800.txt.w:6-21	[1] ri	ri_4 
I1PD96800.txt.w:6-22	ni	ni_0 
I1PD96800.txt.w:6-26	/ / / gar	gar_6 
I1PD96800.txt.w:6-27	tshe	tshe_0 
I1PD96800.txt.w:6-28	nang	nang_0 
I1PD96800.txt.w:6-30	4 2)sa	2)sa_2 
I1PD96800.txt.w:6-31	[l]	[l]_0 
I1PD96800.txt.w:6-32	ba	ba_0 
I1PD96800.txt.w:6-33	ba	ba_0 
I1PD96800.txt.w:7-0	[17] @#/_/ nub phyogs nyer zhi'i zhing gi mgon /_/ bde gshegs rin chen 'od 'phro'i zhabs /_/	nub_11 phyogs_15 nyer_22 zhi_27 zhing_33 gi_39 mgon_42 bde_51 gshegs_55 rin_62 chen_66 'od_71 'phro_75 zhabs_83 
I1PD96800.txt.w:7-1	[a]	[a]_0 
I1PD96800.txt.w:7-2	@#/_/ nyer zhi'i zhing gi sems dpa' che /_/ spyod pa'i blo gros zhes bya'i mtshan /_/	nyer_6 zhi_11 zhing_17 gi_23 sems_26 dpa'_31 che_36 spyod_44 ba_50 blo_55 gros_59 zhes_64 byed_69 mtshan_75 
I1PD96800.txt.w:7-3	@#/_/ nub phyogs nyer zhi'i zhing gi mgon /_/	nub_6 phyogs_10 nyer_17 zhi_22 zhing_28 gi_34 mgon_37 
I1PD96800.txt.w:7-4	bde gshegs rin chen 'od 'phro'i zhabs /_/@#/_/ nyer zhi'i zhing gi sems dpa' che /_/	bde_0 gshegs_4 rin_11 chen_15 'od_20 'phro_24 zhabs_32 nyer_47 zhi_52 zhing_58 gi_64 sems_67 dpa'_72 che_77 
I1PD96800.txt.w:7-5	spyod pa'i blo gros zhes bya'i mtshan /_/	spyod_0 ba_6 blo_11 gros_15 zhes_20 byed_25 mtshan_31 
I1PD96800.txt.w:7-6	'bum /	'bum_0 
I1PD96800.txt.w:7-7	[z]nga	[z]nga_0 
I1PD96800.txt.w:7-9	[(]17[)] khye[ an]	khye[_9 an]_15 
I1PD96800.txt.w:3-0	3 0025 @#// shes rab kyi pha rol tu phyin pa	shes_12 rab_17 kyi_21 pha_25 rol_29 tu_33 phyin_36 ba_42 
I1PD96800.txt.w:3-1	stong phrag brgya pa /[（]1[)]	stong_0 phrag_6 brgya_12 ba_18 
I1PD96800.txt.w:3-2	/ shes rab kyi pha rold tu phyind pa stong phrag brgya pa /	shes_2 rab_7 kyi_11 pha_15 rold_19 tu_24 phyind_27 ba_34 stong_37 phrag_43 brgya_49 ba_55 
I1PD96800.txt.w:3-3	[· ]glegs bam bzhi pa /_bam po dang po /_tshe dang ldan pa sha ra dwa [“]ti'i bu /	]glegs_3 bam_10 bzhi_14 ba_19 po_28 dang_31 po_36 dang_46 ldan_51 ba_56 sha_59 ra_63 dwa_66 [“]ti_70 bu_78 
I1PD96800.txt.w:3-4	dran pa nye bar gzhag pa med pa'i phyir /_byang chub sems dpa' sngon gyi	dran_0 ba_5 nye_8 ba_12 'jog_16 ba_22 med_25 ba_29 phyir_34 chub_48 sems_53 dpa'_58 sngon_63 gyi_69 
I1PD96800.txt.w:3-5	mthar mi dmigs so /_/ dran pa nye bar gzhag pa stong pa nyid kyi phyir /_byang	mthar_0 mi_6 dmigs_9 so_15 dran_22 ba_27 nye_30 ba_34 'jog_38 ba_44 stong_47 ba_53 nyid_56 kyi_61 phyir_65 
I1PD96800.txt.w:3-6	chub sems dpa' sngon gyi mthar spyi dmigs so /_/ dran pa nye bar gzhag pa	chub_0 sems_5 dpa'_10 sngon_15 gyi_21 mthar_25 spyi_31 dmigs_36 so_42 dran_49 ba_54 nye_57 ba_61 'jog_65 ba_71 
I1PD96800.txt.w:3-7	dben pa'i phyir /_byang chub sems dpa' sngon gyi mthar spyi dmigs so /_/	dben_0 ba_5 phyir_10 chub_24 sems_29 dpa'_34 sngon_39 gyi_45 mthar_49 spyi_55 dmigs_60 so_66 
I1PD96800.txt.w:3-8	dran pa nye bar gzhag pa ngo bo nyid med pa'i phyir /_byang chub sems dpa' sngon	dran_0 ba_5 nye_8 ba_12 'jog_16 ba_22 ngo_25 'bo_29 nyid_32 med_37 ba_41 phyir_46 chub_60 sems_65 dpa'_70 sngon_75 
